code,name,close,차트점수,5일변화율(%),20일변화율(%),거래대금(원),20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,scan_tag,candidate_source,scan_priority,entry1,entry2,stop_calc,target1,target2,risk,rr,entry_gap_pct,entry_status,entry_comment,status_order
3490,대한항공,26350,7,8.44,3.74,96433648350,1,1,0,0,1,0,5.1_swing,all_fallback,3,25691.25,25164.25,24409.32,27535.75,28721.5,1281.93,1.44,2.5,WATCH,관찰 필요,1
39490,키움증권,460500,7,7.34,-5.54,88074309000,1,1,1,0,1,0,5.0_stable,all_fallback,4,448987.5,439777.5,426584.17,481222.5,501945.0,22403.33,1.44,2.5,WATCH,관찰 필요,1
128940,한미약품,560000,7,12.79,-9.82,70468160000,1,1,1,0,1,0,5.1_swing,all_fallback,3,546000.0,534800.0,518756.0,585200.0,610400.0,27244.0,1.44,2.5,WATCH,관찰 필요,1
377300,카카오페이,64300,7,10.48,-0.62,60853455700,1,1,1,0,1,0,5.0_stable,all_fallback,4,62692.5,61406.5,59564.31,67193.5,70087.0,3128.19,1.44,2.5,WATCH,관찰 필요,1
240810,원익IPS,125000,7,5.04,6.93,53435500000,1,1,0,0,1,0,5.0_stable,all_fallback,4,121875.0,119375.0,115793.75,130625.0,136250.0,6081.25,1.44,2.5,WATCH,관찰 필요,1
71055,한국금융지주우,172000,7,6.24,-5.81,48780748000,1,1,1,0,1,0,5.0_stable,all_fallback,4,167700.0,164260.0,159332.2,179740.0,187480.0,8367.8,1.44,2.5,WATCH,관찰 필요,1
14620,성광벤드,37200,7,5.08,-7.0,43837930800,1,1,1,0,1,0,5.0_stable,all_fallback,4,36270.0,35526.0,34460.22,38874.0,40548.0,1809.78,1.44,2.5,WATCH,관찰 필요,1
139480,이마트,100700,7,7.47,-9.69,40205784100,1,1,1,0,1,0,5.0_stable,all_fallback,4,98182.5,96168.5,93283.44,105231.5,109763.0,4899.06,1.44,2.5,WATCH,관찰 필요,1
90430,아모레퍼시픽,140800,7,7.48,-12.76,39693913600,1,1,1,0,1,0,5.1_swing,all_fallback,3,137280.0,134464.0,130430.08,147136.0,153472.0,6849.92,1.44,2.5,WATCH,관찰 필요,1
78930,GS,69000,7,8.15,-5.74,38898957000,1,1,1,0,1,0,5.0_stable,all_fallback,4,67275.0,65895.0,63918.15,72105.0,75210.0,3356.85,1.44,2.5,WATCH,관찰 필요,1
62040,산일전기,159200,7,13.23,8.82,36154160800,1,1,0,0,1,0,5.1_swing,all_fallback,3,155220.0,152036.0,147474.92,166364.0,173528.0,7745.08,1.44,2.5,WATCH,관찰 필요,1
388210,씨엠티엑스,151200,7,12.5,5.29,26040268800,1,1,0,0,1,0,5.1_swing,all_fallback,3,147420.0,144396.0,140064.12,158004.0,164808.0,7355.88,1.44,2.5,WATCH,관찰 필요,1
318060,그래피,50900,7,15.68,-1.55,25212042500,1,1,1,0,1,0,5.1_swing,all_fallback,3,49627.5,48609.5,47151.21,53190.5,55481.0,2476.29,1.44,2.5,WATCH,관찰 필요,1
489500,엘케이켐,38700,7,11.69,-21.82,16986281400,1,1,1,0,1,0,5.1_swing,all_fallback,3,37732.5,36958.5,35849.75,40441.5,42183.0,1882.75,1.44,2.5,WATCH,관찰 필요,1
199820,제일일렉트릭,11840,7,16.42,10.45,13267347520,1,1,0,0,1,0,5.1_swing,all_fallback,3,11544.0,11307.2,10967.98,12372.8,12905.6,576.02,1.44,2.5,WATCH,관찰 필요,1
