code,name,close,차트점수,5일변화율(%),20일변화율(%),거래대금(원),20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,scan_tag,candidate_source,scan_priority,entry1,entry2,stop_calc,target1,target2,risk,rr,entry_gap_pct,entry_status,entry_comment,status_order
79370,제우스,17860,8,4.02,6.06,9461567180,1,1,0,1,1,0,5.1_swing,all_fallback,3,17645.68,17413.5,16891.1,18931.6,20003.2,754.58,1.7,1.2,WATCH,관찰 필요,1
178920,PI첨단소재,23100,8,16.67,14.93,8746815000,1,1,0,1,1,0,5.1_swing,all_fallback,3,22822.8,22522.5,21846.83,24486.0,25872.0,975.97,1.7,1.2,WATCH,관찰 필요,1
322310,오로스테크놀로지,33000,8,9.45,34.15,7571157000,1,1,0,1,1,0,5.1_swing,all_fallback,3,32604.0,32175.0,31209.75,34980.0,36960.0,1394.25,1.7,1.2,WATCH,관찰 필요,1
78160,메디포스트,23200,8,4.04,4.74,4603065600,1,1,0,1,1,0,5.1_swing,all_fallback,3,22921.6,22620.0,21941.4,24592.0,25984.0,980.2,1.7,1.2,WATCH,관찰 필요,1
82640,동양생명,8810,8,9.44,20.36,3931347970,1,1,0,1,1,0,5.1_swing,all_fallback,3,8704.28,8589.75,8332.06,9338.6,9867.2,372.22,1.7,1.2,WATCH,관찰 필요,1
53610,프로텍,59100,8,6.29,4.23,3357766500,1,1,0,1,1,0,5.1_swing,all_fallback,3,58390.8,57622.5,55893.82,62646.0,66192.0,2496.98,1.7,1.2,WATCH,관찰 필요,1
443060,HD현대마린솔루션,178200,7,0.06,4.03,15719022000,1,0,0,1,1,0,5.1_swing,all_fallback,3,176061.6,173745.0,168532.65,188892.0,199584.0,7528.95,1.7,1.2,WATCH,관찰 필요,1
42700,한미반도체,307000,7,-3.15,51.6,242025906000,1,1,0,0,1,0,5.0_stable,all_fallback,4,300246.0,294720.0,285878.4,323885.0,337700.0,14367.6,1.65,2.2,WATCH,관찰 필요,1
10170,대한광통신,7390,7,-3.65,114.2,181512182350,1,1,0,0,1,0,5.0_stable,all_fallback,4,7227.42,7094.4,6881.57,7796.45,8129.0,345.85,1.65,2.2,WATCH,관찰 필요,1
58470,리노공업,117100,7,-0.59,20.1,91593746400,1,1,0,0,1,0,5.0_stable,all_fallback,4,114523.8,112416.0,109043.52,123540.5,128810.0,5480.28,1.65,2.2,WATCH,관찰 필요,1
178320,서진시스템,45400,7,0.11,24.04,67953131000,1,1,0,0,1,0,5.0_stable,all_fallback,4,44401.2,43584.0,42276.48,47897.0,49940.0,2124.72,1.65,2.2,WATCH,관찰 필요,1
218410,RFHIC,78700,7,-6.42,56.46,34753841300,1,1,0,0,1,0,5.0_stable,all_fallback,4,76968.6,75552.0,73285.44,83028.5,86570.0,3683.16,1.65,2.2,WATCH,관찰 필요,1
448900,한국피아이엠,118500,7,-7.93,65.27,32058871500,1,1,0,0,1,0,5.0_stable,all_fallback,4,115893.0,113760.0,110347.2,125017.5,130350.0,5545.8,1.65,2.2,WATCH,관찰 필요,1
84370,유진테크,131900,7,3.53,17.77,31522253400,1,1,0,0,1,0,5.0_stable,all_fallback,4,128998.2,126624.0,122825.28,139154.5,145090.0,6172.92,1.65,2.2,WATCH,관찰 필요,1
83650,비에이치아이,104300,7,4.61,38.51,29955481500,1,1,0,0,1,0,5.0_stable,all_fallback,4,102005.4,100128.0,97124.16,110036.5,114730.0,4881.24,1.65,2.2,WATCH,관찰 필요,1
234340,헥토파이낸셜,38550,7,3.63,46.58,27469920450,1,1,0,0,1,0,5.0_stable,all_fallback,4,37701.9,37008.0,35897.76,40670.25,42405.0,1804.14,1.65,2.2,WATCH,관찰 필요,1
174900,앱클론,79800,7,0.25,35.03,26927392800,1,1,0,0,1,0,5.0_stable,all_fallback,4,78044.4,76608.0,74309.76,84189.0,87780.0,3734.64,1.65,2.2,WATCH,관찰 필요,1
44490,태웅,45300,7,-7.74,39.81,23340553200,1,1,0,0,1,0,5.0_stable,all_fallback,4,44303.4,43488.0,42183.36,47791.5,49830.0,2120.04,1.65,2.2,WATCH,관찰 필요,1
124500,아이티센글로벌,65200,7,-9.32,33.61,21836979600,1,1,0,0,1,0,5.0_stable,all_fallback,4,63765.6,62592.0,60714.24,68786.0,71720.0,3051.36,1.65,2.2,WATCH,관찰 필요,1
