code,name,close,차트점수,5일변화율(%),20일변화율(%),거래대금(원),20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,scan_tag,candidate_source,scan_priority,entry1,entry2,stop_calc,target1,target2,risk,rr,entry_gap_pct,entry_status,entry_comment,status_order
1510,SK증권,1880,8,1.62,101.07,262583999200,1,1,1,0,1,0,5.1_swing,all_fallback,3,1838.64,1804.8,1750.66,1983.4,2068.0,87.98,1.65,2.2,PASS,"보상비 우수, 우선 검토",0
263750,펄어비스,65600,8,6.84,22.62,90244608000,1,1,1,0,1,0,5.0_stable,all_fallback,4,63960.0,62648.0,60768.56,69208.0,72160.0,3191.44,1.64,2.5,PASS,"보상비 우수, 우선 검토",0
37350,성도이엔지,12250,8,7.17,70.14,14546360500,1,1,1,0,1,0,5.1_swing,all_fallback,3,11943.75,11698.75,11347.79,12923.75,13475.0,595.96,1.64,2.5,PASS,"보상비 우수, 우선 검토",0
85910,네오티스,19650,8,9.17,53.4,10531869450,1,1,1,0,1,0,5.1_swing,all_fallback,3,19158.75,18765.75,18202.78,20730.75,21615.0,955.97,1.64,2.5,PASS,"보상비 우수, 우선 검토",0
