스캐너,파일종류,종목코드,종목명,전일종가,금일종가,장중최대상승률(%),종가수익률(%)
5.0_stable,all,263750,펄어비스,65600,46000,-26.98,-29.88
5.0_stable,all,456160,지투지바이오,91600,86900,-1.31,-5.13
5.0_stable,all,012510,더존비즈온,119100,119100,0.08,0.0
5.0_stable,all,353200,대덕전자,74800,77300,6.82,3.34
5.0_stable,all,222800,심텍,59600,60100,3.19,0.84
5.0_stable,all,005935,삼성전자우,149100,144200,-1.54,-3.29
5.0_stable,all,034020,두산에너빌리티,107300,106300,1.12,-0.93
5.0_stable,all,298380,에이비엘바이오,195500,190000,-1.43,-2.81
5.0_stable,all,443060,HD현대마린솔루션,183400,178200,-1.31,-2.84
5.0_stable,all,263750,펄어비스,65600,46000,-26.98,-29.88
5.0_stable,all,012510,더존비즈온,119100,119100,0.08,0.0
5.0_stable,all,017960,한국카본,48750,48350,2.46,-0.82
5.0_stable,all,100790,미래에셋벤처투자,24050,22850,-1.04,-4.99
5.0_stable,all,079370,제우스,18310,17860,-0.71,-2.46
5.0_stable,all,005930,삼성전자,208500,200500,-1.68,-3.84
5.0_stable,all,000660,SK하이닉스,1056000,1013000,-1.23,-4.07
5.0_stable,all,005935,삼성전자우,149100,144200,-1.54,-3.29
5.0_stable,all,402340,SK스퀘어,630000,611000,-0.48,-3.02
5.0_stable,all,034020,두산에너빌리티,107300,106300,1.12,-0.93
5.0_stable,all,032830,삼성생명,235000,230500,0.85,-1.91
5.0_stable,all,009150,삼성전기,464000,479500,4.63,3.34
5.0_stable,all,042700,한미반도체,311000,307000,0.8,-1.29
5.0_stable,all,010120,LS ELECTRIC,833000,873000,7.8,4.8
5.0_stable,all,298040,효성중공업,2731000,2693000,1.03,-1.39
5.0_stable,all,000720,현대건설,170100,169500,2.53,-0.35
5.0_stable,all,000250,삼천당제약,784000,795000,6.89,1.4
5.0_stable,all,278470,에이피알,362000,369000,3.59,1.93
5.0_stable,all,007660,이수페타시스,125100,129500,5.92,3.52
5.0_stable,all,006260,LS,282000,290500,5.85,3.01
5.0_stable,all,058470,리노공업,116600,117100,2.32,0.43
5.0_stable,all,087010,펩트론,328000,317500,5.79,-3.2
5.0_stable,all,011070,LG이노텍,268500,286000,9.12,6.52
5.0_stable,all,047040,대우건설,14870,16170,16.01,8.74
