스캐너,파일종류,종목코드,종목명,전일종가,금일종가,장중최대상승률(%),종가수익률(%)
5.0_stable,all,263750,펄어비스,68500,63600,-2.92,-7.15
5.0_stable,all,456160,지투지바이오,100200,93500,3.99,-6.69
5.0_stable,all,012510,더존비즈온,119200,119100,0.17,-0.08
5.0_stable,all,353200,대덕전자,67000,67200,4.33,0.3
5.0_stable,all,222800,심텍,56000,56500,5.18,0.89
5.1_swing,all,034020,두산에너빌리티,105700,104400,1.42,-1.23
5.1_swing,all,006800,미래에셋증권,70900,69100,2.54,-2.54
5.1_swing,all,009150,삼성전기,413000,446500,9.81,8.11
5.1_swing,all,047810,한국항공우주,191200,202000,8.0,5.65
5.1_swing,all,079550,LIG넥스원,730000,705000,-0.55,-3.42
5.1_swing,all,278470,에이피알,328500,349000,8.07,6.24
5.1_swing,all,950160,코오롱티슈진,103400,102000,4.45,-1.35
5.1_swing,all,087010,펩트론,316500,311000,3.16,-1.74
5.1_swing,all,141080,리가켐바이오,201000,210000,11.94,4.48
5.1_swing,all,310210,보로노이,347500,347000,4.89,-0.14
5.1_swing,all,240810,원익IPS,121100,118600,3.22,-2.06
5.1_swing,all,263750,펄어비스,68500,63600,-2.92,-7.15
5.1_swing,all,489790,한화비전,78600,76900,5.09,-2.16
5.1_swing,all,012510,더존비즈온,119200,119100,0.17,-0.08
5.1_swing,all,440110,파두,69300,62700,5.63,-9.52
5.1_swing,all,353200,대덕전자,67000,67200,4.33,0.3
5.1_swing,all,00680K,미래에셋증권2우B,21900,21050,1.6,-3.88
5.1_swing,all,010060,OCI홀딩스,158100,165000,9.49,4.36
5.1_swing,all,178320,서진시스템,46300,45650,4.54,-1.4
5.1_swing,all,064760,티씨케이,242500,230500,3.3,-4.95
5.1_swing,all,347700,스피어,52800,50400,8.52,-4.55
5.1_swing,all,005440,현대지에프홀딩스,15600,15410,8.59,-1.22
5.1_swing,all,017960,한국카본,45850,48650,8.72,6.11
5.1_swing,all,089030,테크윙,64100,60900,3.12,-4.99
5.1_swing,all,031980,피에스케이홀딩스,110000,103700,3.09,-5.73
5.1_swing,all,222800,심텍,56000,56500,5.18,0.89
5.1_swing,all,001120,LX인터내셔널,45450,45000,0.88,-0.99
5.1_swing,all,078600,대주전자재료,110700,113300,7.32,2.35
5.1_swing,all,456160,지투지바이오,100200,93500,3.99,-6.69
5.1_swing,all,127120,제이에스링크,41100,40050,3.77,-2.55
5.1_swing,all,004000,롯데정밀화학,51100,51100,3.33,0.0
5.1_swing,all,389470,인벤티지랩,90800,87000,1.76,-4.19
5.1_swing,all,089970,브이엠,40000,41050,7.5,2.63
5.1_swing,all,126340,비나텍,138500,130900,3.25,-5.49
5.1_swing,all,074600,원익QnC,34850,33400,3.01,-4.16
5.1_swing,all,420770,기가비스,70100,70400,5.42,0.43
5.1_swing,all,348210,넥스틴,81100,79500,1.11,-1.97
5.1_swing,all,102940,코오롱생명과학,62500,61000,1.6,-2.4
5.1_swing,all,083450,GST,30450,29700,3.12,-2.46
5.1_swing,all,194480,데브시스터즈,42950,41150,-1.51,-4.19
5.1_swing,all,309710,아이티켐,36200,36350,6.77,0.41
5.1_swing,all,110990,디아이티,23500,22700,5.11,-3.4
5.1_swing,all,025860,남해화학,8650,8900,2.89,2.89
5.1_swing,all,010820,퍼스텍,8000,7550,1.25,-5.63
5.1_swing,all,005010,휴스틸,4810,4910,3.74,2.08
5.1_swing,all,044450,KSS해운,10650,10480,1.22,-1.6
5.1_swing,all,091580,상신이디피,16140,17850,18.22,10.59
5.1_swing,all,000440,중앙에너비스,31200,32450,7.69,4.01
5.1_swing,all,005860,한일사료,4570,4390,-0.55,-3.94
5.1_swing,all,065450,빅텍,5290,5000,-0.95,-5.48
5.1_swing,all,004140,동방,2750,2710,0.55,-1.45
5.1_swing,all,024740,한일단조,3435,3235,-2.62,-5.82
5.1_swing,all,448710,코츠테크놀로지,21300,20250,-0.7,-4.93
5.1_swing,all,006890,태경케미컬,9000,8650,-0.78,-3.89
5.1_swing,all,005935,삼성전자우,138300,141000,4.56,1.95
5.1_swing,all,034020,두산에너빌리티,105700,104400,1.42,-1.23
5.1_swing,all,009150,삼성전기,413000,446500,9.81,8.11
5.1_swing,all,010120,LS ELECTRIC,733000,762000,6.68,3.96
5.1_swing,all,000250,삼천당제약,730000,739000,6.44,1.23
5.1_swing,all,017670,SK텔레콤,76300,79700,6.68,4.46
5.1_swing,all,298380,에이비엘바이오,187000,191000,5.78,2.14
5.1_swing,all,009830,한화솔루션,46050,49450,13.57,7.38
5.1_swing,all,087010,펩트론,316500,311000,3.16,-1.74
5.1_swing,all,310210,보로노이,347500,347000,4.89,-0.14
5.1_swing,all,263750,펄어비스,68500,63600,-2.92,-7.15
5.1_swing,all,012510,더존비즈온,119200,119100,0.17,-0.08
5.1_swing,all,353200,대덕전자,67000,67200,4.33,0.3
5.1_swing,all,083650,비에이치아이,101500,105100,6.9,3.55
5.1_swing,all,440110,파두,69300,62700,5.63,-9.52
5.1_swing,all,178320,서진시스템,46300,45650,4.54,-1.4
5.1_swing,all,347700,스피어,52800,50400,8.52,-4.55
5.1_swing,all,222800,심텍,56000,56500,5.18,0.89
5.1_swing,all,039200,오스코텍,59300,54900,-0.67,-7.42
5.1_swing,all,090710,휴림로봇,11960,13440,20.99,12.37
5.1_swing,all,004000,롯데정밀화학,51100,51100,3.33,0.0
5.1_swing,all,295310,에이치브이엠,103200,102900,12.98,-0.29
5.1_swing,all,183300,코미코,111500,117000,9.69,4.93
5.1_swing,all,003160,디아이,35950,35650,4.03,-0.83
5.1_swing,all,089970,브이엠,40000,41050,7.5,2.63
5.1_swing,all,074600,원익QnC,34850,33400,3.01,-4.16
5.1_swing,all,005880,대한해운,2515,2370,7.16,-5.77
5.1_swing,all,365340,성일하이텍,56300,59300,9.77,5.33
5.1_swing,all,425420,티에프이,58800,55900,1.7,-4.93
5.1_swing,all,046890,서울반도체,9990,11000,17.72,10.11
5.1_swing,all,234340,헥토파이낸셜,40300,38000,11.66,-5.71
5.1_swing,all,122640,예스티,25150,24550,3.38,-2.39
5.1_swing,all,107640,한중엔시에스,60300,54300,2.99,-9.95
5.1_swing,all,327260,RF머트리얼즈,65000,56300,3.08,-13.38
5.1_swing,all,065660,안트로젠,57600,46400,-0.35,-19.44
5.1_swing,all,031430,신세계인터내셔날,12570,12750,17.34,1.43
5.1_swing,all,025860,남해화학,8650,8900,2.89,2.89
5.1_swing,all,098070,한텍,42150,39500,0.36,-6.29
5.1_swing,all,290550,디케이티,19000,18000,2.0,-5.26
5.1_swing,all,024060,흥구석유,23550,22750,-1.7,-3.4
5.1_swing,all,000390,삼화페인트,9260,11000,29.91,18.79
5.1_swing,all,322310,오로스테크놀로지,32000,31000,8.91,-3.12
5.1_swing,all,117580,대성에너지,10380,10310,-0.67,-0.67
5.1_swing,all,112290,와이씨켐,26850,27700,5.59,3.17
5.1_swing,all,361390,제노코,28050,28800,5.35,2.67
5.1_swing,all,418550,제이오,7540,8380,29.84,11.14
5.1_swing,all,289930,웨이비스,17780,19250,13.89,8.27
5.1_swing,all,199820,제일일렉트릭,10270,10720,11.39,4.38
5.1_swing,all,091580,상신이디피,16140,17850,18.22,10.59
5.1_swing,all,321550,티움바이오,7420,7800,14.56,5.12
5.1_swing,all,380540,옵티코어,4890,4360,4.7,-10.84
5.1_swing,all,232680,라온로보틱스,15310,15830,6.86,3.4
5.1_swing,all,000440,중앙에너비스,31200,32450,7.69,4.01
5.1_swing,all,005860,한일사료,4570,4390,-0.55,-3.94
5.1_swing,all,039560,다산네트웍스,4480,4325,3.35,-3.46
5.1_swing,all,225190,LK삼양,2150,2295,19.53,6.74
5.1_swing,all,083500,에프엔에스테크,14190,15600,19.8,9.94
6.0_force,all,034020,두산에너빌리티,105700,104400,1.42,-1.23
6.0_force,all,010140,삼성중공업,28750,29150,4.7,1.39
6.0_force,all,141080,리가켐바이오,201000,210000,11.94,4.48
6.0_force,all,263750,펄어비스,68500,63600,-2.92,-7.15
6.0_force,all,012510,더존비즈온,119200,119100,0.17,-0.08
6.0_force,all,010060,OCI홀딩스,158100,165000,9.49,4.36
6.0_force,all,017960,한국카본,45850,48650,8.72,6.11
6.0_force,all,222800,심텍,56000,56500,5.18,0.89
6.0_force,all,001120,LX인터내셔널,45450,45000,0.88,-0.99
6.0_force,all,456160,지투지바이오,100200,93500,3.99,-6.69
6.0_force,all,004000,롯데정밀화학,51100,51100,3.33,0.0
6.0_force,all,074600,원익QnC,34850,33400,3.01,-4.16
6.0_force,all,348210,넥스틴,81100,79500,1.11,-1.97
6.0_force,all,083450,GST,30450,29700,3.12,-2.46
6.0_force,all,194480,데브시스터즈,42950,41150,-1.51,-4.19
6.0_force,all,110990,디아이티,23500,22700,5.11,-3.4
6.0_force,all,025860,남해화학,8650,8900,2.89,2.89
6.0_force,all,005010,휴스틸,4810,4910,3.74,2.08
6.0_force,all,091580,상신이디피,16140,17850,18.22,10.59
6.0_force,all,005860,한일사료,4570,4390,-0.55,-3.94
6.0_force,all,004140,동방,2750,2710,0.55,-1.45
6.0_force,all,448710,코츠테크놀로지,21300,20250,-0.7,-4.93
6.0_force,all,006890,태경케미컬,9000,8650,-0.78,-3.89
6.0_force,all,005935,삼성전자우,138300,141000,4.56,1.95
6.0_force,all,034020,두산에너빌리티,105700,104400,1.42,-1.23
6.0_force,all,329180,HD현대중공업,583000,587000,2.23,0.69
6.0_force,all,017670,SK텔레콤,76300,79700,6.68,4.46
6.0_force,all,298380,에이비엘바이오,187000,191000,5.78,2.14
6.0_force,all,087010,펩트론,316500,311000,3.16,-1.74
6.0_force,all,251270,넷마블,53200,54800,3.38,3.01
6.0_force,all,263750,펄어비스,68500,63600,-2.92,-7.15
6.0_force,all,012510,더존비즈온,119200,119100,0.17,-0.08
6.0_force,all,353200,대덕전자,67000,67200,4.33,0.3
6.0_force,all,178320,서진시스템,46300,45650,4.54,-1.4
6.0_force,all,222800,심텍,56000,56500,5.18,0.89
6.0_force,all,004000,롯데정밀화학,51100,51100,3.33,0.0
6.0_force,all,295310,에이치브이엠,103200,102900,12.98,-0.29
6.0_force,all,183300,코미코,111500,117000,9.69,4.93
6.0_force,all,003160,디아이,35950,35650,4.03,-0.83
