스캐너,파일종류,종목코드,종목명,전일종가,금일종가,장중최대상승률(%),종가수익률(%)
5.0_stable,all,009155,삼성전기우,190400,183800,1.37,-3.47
5.0_stable,all,338840,와이바이오로직스,35600,34650,2.53,-2.67
5.0_stable,all,234340,헥토파이낸셜,38550,40000,8.56,3.76
5.0_stable,all,006110,삼아알미늄,34500,32600,-4.2,-5.51
5.0_stable,all,006340,대원전선,6520,6410,3.37,-1.69
5.0_stable,all,393890,더블유씨피,15100,13230,0.0,-12.38
5.0_stable,all,327260,RF머트리얼즈,60500,73900,25.54,22.15
5.0_stable,all,098070,한텍,44600,47900,10.87,7.4
5.0_stable,all,019210,와이지-원,12810,12550,1.8,-2.03
5.0_stable,all,080580,오킨스전자,20850,20350,2.16,-2.4
5.0_stable,all,025860,남해화학,8520,8320,0.35,-2.35
5.0_stable,all,092870,엑시콘,31750,31250,1.57,-1.57
5.0_stable,all,089980,상아프론테크,25700,25750,0.78,0.19
5.0_stable,all,033160,엠케이전자,17710,18070,11.74,2.03
5.0_stable,all,226590,엠디바이스,36250,36200,1.93,-0.14
5.0_stable,all,046120,오르비텍,10980,13700,26.41,24.77
5.0_stable,all,170920,엘티씨,34100,34000,3.96,-0.29
5.0_stable,all,035510,신세계 I&C,23200,21200,-0.43,-8.62
5.0_stable,all,117580,대성에너지,10890,11140,10.01,2.3
5.0_stable,all,034020,두산에너빌리티,106300,109600,5.46,3.1
5.0_stable,all,055550,신한지주,96500,97900,2.38,1.45
5.0_stable,all,010120,LS ELECTRIC,873000,886000,3.89,1.49
5.0_stable,all,000250,삼천당제약,795000,907000,20.13,14.09
5.0_stable,all,000150,두산,1149000,1186000,4.61,3.22
5.0_stable,all,000720,현대건설,169500,164000,3.19,-3.24
5.0_stable,all,047050,포스코인터내셔널,71800,77000,11.0,7.24
5.0_stable,all,278470,에이피알,369000,359500,2.17,-2.57
5.0_stable,all,039490,키움증권,449000,460500,5.01,2.56
5.0_stable,all,006260,LS,290500,303500,7.4,4.48
5.0_stable,all,016360,삼성증권,98600,102300,4.56,3.75
5.0_stable,all,009830,한화솔루션,49750,51700,14.17,3.92
5.0_stable,all,377300,카카오페이,60200,64300,6.81,6.81
5.0_stable,all,443060,HD현대마린솔루션,178200,182700,4.26,2.53
5.0_stable,all,087010,펩트론,317500,346000,13.07,8.98
5.0_stable,all,047040,대우건설,16170,19110,20.16,18.18
5.0_stable,all,141080,리가켐바이오,199900,213000,9.05,6.55
5.0_stable,all,028050,삼성E&A,32600,35300,10.89,8.28
5.0_stable,all,052690,한전기술,168000,175500,6.13,4.46
5.0_stable,all,078930,GS,65400,69000,7.03,5.5
5.0_stable,all,240810,원익IPS,120900,125000,4.63,3.39
5.0_stable,all,271560,오리온,130600,137800,5.51,5.51
5.0_stable,all,095340,ISC,244500,247000,2.25,1.02
5.0_stable,all,353200,대덕전자,77300,82800,11.64,7.12
5.0_stable,all,010060,OCI홀딩스,198200,203000,15.04,2.42
5.0_stable,all,226950,올릭스,181800,186900,4.29,2.81
5.0_stable,all,012510,더존비즈온,119100,119300,0.25,0.17
5.0_stable,all,083650,비에이치아이,104300,109500,7.86,4.99
5.0_stable,all,036930,주성엔지니어링,61000,72800,28.69,19.34
5.0_stable,all,145020,휴젤,262000,267000,2.67,1.91
5.0_stable,all,023530,롯데쇼핑,107500,113500,8.56,5.58
5.0_stable,all,043260,성호전자,40000,45000,20.75,12.5
5.0_stable,all,097950,CJ제일제당,200000,212000,6.0,6.0
5.0_stable,all,051600,한전KPS,61400,67500,12.38,9.93
5.0_stable,all,064760,티씨케이,242500,253000,5.77,4.33
5.0_stable,all,178320,서진시스템,45400,48000,9.25,5.73
5.0_stable,all,112610,씨에스윈드,64900,66100,6.78,1.85
5.0_stable,all,139480,이마트,94400,100700,10.06,6.67
5.0_stable,all,336260,두산퓨얼셀,45900,41900,4.58,-8.71
5.0_stable,all,006360,GS건설,25950,31800,26.01,22.54
5.0_stable,all,375500,DL이앤씨,51900,67400,29.87,29.87
5.0_stable,all,017960,한국카본,48350,49800,5.07,3.0
5.0_stable,all,097230,HJ중공업,27800,28450,4.32,2.34
5.0_stable,all,319660,피에스케이,82500,86400,4.73,4.73
5.0_stable,all,018670,SK가스,249000,260000,11.45,4.42
5.0_stable,all,031980,피에스케이홀딩스,106800,111400,6.27,4.31
5.0_stable,all,222800,심텍,60100,62500,5.66,3.99
5.0_stable,all,007340,DN오토모티브,39600,39750,0.76,0.38
5.0_stable,all,458870,씨어스테크놀로지,189000,182900,1.9,-3.23
5.0_stable,all,192820,코스맥스,179200,196100,14.4,9.43
5.0_stable,all,376900,로킷헬스케어,128700,130400,5.36,1.32
5.0_stable,all,475150,SK이터닉스,53700,59900,24.77,11.55
5.0_stable,all,003380,하림지주,15100,17700,20.53,17.22
5.0_stable,all,131970,두산테스나,91900,102400,16.0,11.43
5.0_stable,all,078600,대주전자재료,119700,126200,8.02,5.43
5.0_stable,all,038500,삼표시멘트,17300,17370,1.91,0.4
5.0_stable,all,001120,LX인터내셔널,44500,47150,7.53,5.96
5.0_stable,all,161890,한국콜마,69800,76700,11.03,9.89
5.0_stable,all,417200,LS머트리얼즈,23750,25300,13.68,6.53
5.0_stable,all,003530,한화투자증권,7380,7920,14.77,7.32
5.0_stable,all,012630,HDC,25050,28050,16.97,11.98
5.0_stable,all,115180,큐리언트,45050,44950,1.78,-0.22
5.0_stable,all,100090,SK오션플랜트,19680,25550,29.83,29.83
5.0_stable,all,294870,HDC현대산업개발,21550,24100,12.76,11.83
5.0_stable,all,007810,코리아써키트,62100,64600,7.09,4.03
5.0_stable,all,322000,HD현대에너지솔루션,136300,131000,10.71,-3.89
5.0_stable,all,032500,케이엠더블유,29200,32950,15.75,12.84
5.0_stable,all,000210,DL,51300,64900,27.68,26.51
5.0_stable,all,183300,코미코,118900,120300,3.95,1.18
5.0_stable,all,213420,덕산네오룩스,44500,47950,9.66,7.75
5.0_stable,all,044490,태웅,45300,57300,29.8,26.49
5.0_stable,all,100840,SNT에너지,41550,53300,29.96,28.28
5.0_stable,all,003160,디아이,38450,38750,1.43,0.78
5.0_stable,all,071055,한국금융지주우,166400,172000,6.25,3.37
5.0_stable,all,126340,비나텍,139400,143700,7.39,3.08
5.0_stable,all,014620,성광벤드,31750,37200,20.0,17.17
5.0_stable,all,023160,태광,28900,35700,24.57,23.53
5.0_stable,all,005090,SGC에너지,52200,62500,24.14,19.73
5.0_stable,all,253590,네오셈,18750,19100,3.63,1.87
5.0_stable,all,003030,세아제강지주,176800,201000,20.48,13.69
