스캐너,종목수,평균종가수익률(%),평균장중최대상승률(%),종가상승확률(%),장중3%상승확률(%)
5.0_stable,14,3.46,5.34,78.57,78.57
5.1_swing,226,3.03,5.88,76.99,77.43
6.0_force,106,2.86,5.73,76.42,72.64
7.0_early,469,3.12,6.02,76.97,73.77
