스캐너,종목수,평균종가수익률(%),평균장중최대상승률(%),종가상승확률(%),장중3%상승확률(%)
5.0_stable,222,4.79,8.56,75.23,72.07
5.1_swing,670,3.84,7.46,69.1,67.76
6.0_force,441,4.56,8.25,71.2,68.93
7.0_early,1069,2.98,6.6,66.32,64.55
