code,name,close,차트점수,5일변화율(%),20일변화율(%),거래대금(원),20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,scan_tag,candidate_source,scan_priority
100090,SK오션플랜트,19680,10,0.61,9.76,19421148960,1,1,1,1,1,1,5.0_stable,all_fallback,4
10060,OCI홀딩스,198200,8,19.54,31.61,50778641800,1,1,0,1,1,1,5.0_stable,all_fallback,4
10120,LS ELECTRIC,873000,9,17.97,32.07,150890193000,1,1,0,1,1,1,5.1_swing,all_fallback,3
10170,대한광통신,7390,7,-3.65,114.2,181512182350,1,1,0,0,1,0,5.0_stable,all_fallback,4
103590,일진전기,82100,7,1.99,14.83,23447677900,1,1,0,0,1,0,5.0_stable,all_fallback,4
105560,KB금융,155700,0,4.36,-7.27,147568411800,0,0,0,0,0,0,7.0_early,all_fallback,1
10780,아이에스동서,30900,0,-6.93,2.66,4946039400,0,0,0,0,0,0,7.0_early,all_fallback,1
10820,퍼스텍,7470,0,2.05,43.65,17559011880,0,0,0,0,0,0,7.0_early,all_fallback,1
11070,LG이노텍,286000,8,12.6,17.94,96577624000,1,1,1,0,1,0,5.1_swing,all_fallback,3
11170,롯데케미칼,82400,0,11.35,2.62,25520928000,0,0,0,0,0,0,7.0_early,all_fallback,1
1120,LX인터내셔널,44500,0,1.71,-2.41,11233713500,0,0,0,0,0,0,7.0_early,all_fallback,1
112290,와이씨켐,26800,7,-0.56,10.97,3622931200,1,1,0,0,1,0,5.1_swing,all_fallback,3
112610,씨에스윈드,64900,10,15.89,52.35,125850510500,1,1,1,1,1,1,5.1_swing,all_fallback,3
114810,한솔아이원스,15600,0,4.91,-14.14,8183994000,0,0,0,0,0,0,7.0_early,all_fallback,1
115500,케이씨에스,9110,7,0.55,-1.73,3606576120,1,0,1,0,1,1,5.1_swing,all_fallback,3
117580,대성에너지,10890,7,-4.05,33.95,134468837910,1,1,1,0,0,0,5.0_stable,all_fallback,4
11930,신성이엔지,3080,8,25.71,32.76,311780918680,1,1,1,0,1,1,5.0_stable,all_fallback,4
120110,코오롱인더,70500,7,-2.76,12.44,12898680000,1,1,0,0,1,0,5.0_stable,all_fallback,4
122640,예스티,24650,7,1.02,8.59,4670016450,1,1,0,0,1,0,5.1_swing,all_fallback,3
124500,아이티센글로벌,65200,7,-9.32,33.61,21836979600,1,1,0,0,1,0,5.0_stable,all_fallback,4
12510,더존비즈온,119100,8,-0.17,34.27,26793450600,1,1,0,1,0,1,5.0_stable,all_fallback,4
12630,HDC,25050,8,2.45,10.35,3118274100,1,1,0,1,0,1,5.1_swing,all_fallback,3
126340,비나텍,139400,7,-3.53,24.69,16747794800,1,1,0,0,1,0,5.0_stable,all_fallback,4
127120,제이에스링크,39250,7,2.75,22.46,10548633750,1,1,0,0,1,0,5.0_stable,all_fallback,4
12750,에스원,87800,0,5.02,-4.77,3171160400,0,0,0,0,0,0,7.0_early,all_fallback,1
129920,대성하이텍,10750,7,11.4,98.34,4431214500,1,1,0,0,1,0,5.1_swing,all_fallback,3
131290,티에스이,124800,9,13.45,43.45,10591900800,1,1,0,1,1,1,5.1_swing,all_fallback,3
131970,두산테스나,91900,9,42.26,46.57,60345032200,1,1,1,1,1,1,5.0_stable,all_fallback,4
138080,오이솔루션,31600,0,-1.4,86.65,14099730400,0,0,0,0,0,0,7.0_early,all_fallback,1
140860,파크시스템스,277500,8,2.4,7.98,24642000000,1,1,1,0,1,0,5.0_stable,all_fallback,4
141080,리가켐바이오,199900,0,8.82,13.19,72713425100,0,0,0,0,0,0,7.0_early,all_fallback,1
145020,휴젤,262000,8,7.16,3.35,15219580000,1,1,0,1,0,1,5.1_swing,all_fallback,3
150,두산,1149000,0,0.52,21.97,61372686000,0,0,0,0,0,0,7.0_early,all_fallback,1
1510,SK증권,2180,8,20.78,79.42,790180865660,1,1,1,0,1,1,5.1_swing,all_fallback,3
160980,싸이맥스,23950,10,14.87,19.45,9195506700,1,1,1,1,1,1,5.1_swing,all_fallback,3
16880,웅진,2830,9,29.52,18.16,6949418750,1,1,1,1,1,1,5.1_swing,all_fallback,3
170920,엘티씨,34100,9,42.08,28.2,25514233800,1,1,1,1,1,1,5.0_stable,all_fallback,4
1740,SK네트웍스,5490,0,1.29,1.29,7065245700,0,0,0,0,0,0,7.0_early,all_fallback,1
174900,앱클론,79800,7,0.25,35.03,26927392800,1,1,0,0,1,0,5.0_stable,all_fallback,4
178320,서진시스템,45400,7,0.11,24.04,67953131000,1,1,0,0,1,0,5.0_stable,all_fallback,4
178920,PI첨단소재,23100,8,16.67,14.93,8746815000,1,1,0,1,1,0,5.1_swing,all_fallback,3
17960,한국카본,48350,8,1.15,38.54,19042889250,1,1,0,1,0,1,5.1_swing,all_fallback,3
1800,오리온홀딩스,24750,5,1.64,0.0,3349788750,0,0,0,0,0,0,6.0_force,all_fallback,2
1820,삼화콘덴서,60300,7,17.32,64.75,24911256600,1,1,0,0,1,0,5.1_swing,all_fallback,3
183300,코미코,118900,9,4.39,11.85,13397652000,1,1,0,1,1,1,5.0_stable,all_fallback,4
18670,SK가스,249000,8,5.96,7.79,15267435000,1,1,1,0,1,0,5.0_stable,all_fallback,4
19180,티에이치엔,9140,7,13.82,8.42,4028208220,1,1,0,0,1,0,5.1_swing,all_fallback,3
19210,와이지-원,12810,8,8.56,38.34,40202634990,1,1,1,0,1,0,5.0_stable,all_fallback,4
194480,데브시스터즈,40500,7,4.38,9.91,7898472000,1,1,1,0,0,0,5.1_swing,all_fallback,3
199820,제일일렉트릭,11510,9,14.64,7.17,32263186070,1,1,1,0,1,1,5.1_swing,all_fallback,3
200710,에이디테크놀로지,46600,7,-3.92,19.64,9720107600,1,1,0,0,1,0,5.1_swing,all_fallback,3
210,DL,51300,9,14.64,4.27,8667237600,1,1,0,1,1,1,5.1_swing,all_fallback,3
213420,덕산네오룩스,44500,0,8.4,6.71,7394565000,0,0,0,0,0,0,7.0_early,all_fallback,1
214270,FSN,2665,10,17.4,39.09,15610650575,1,1,1,1,1,1,5.1_swing,all_fallback,3
214390,경보제약,7940,8,43.84,33.67,102222259600,1,1,1,0,1,1,5.1_swing,all_fallback,3
218410,RFHIC,78700,7,-6.42,56.46,34753841300,1,1,0,0,1,0,5.0_stable,all_fallback,4
222800,심텍,60100,10,15.13,18.77,57412808800,1,1,1,1,1,1,5.1_swing,all_fallback,3
226590,엠디바이스,36250,8,34.26,60.75,69931035000,1,1,1,1,0,1,5.1_swing,all_fallback,3
226950,올릭스,181800,0,0.61,42.81,48396978000,0,0,0,0,0,0,7.0_early,all_fallback,1
230240,에치에프알,25500,7,-7.61,57.6,8786637000,1,1,0,0,1,0,5.1_swing,all_fallback,3
234340,헥토파이낸셜,38550,7,3.63,46.58,27469920450,1,1,0,0,1,0,5.0_stable,all_fallback,4
234690,녹십자웰빙,10280,10,10.42,10.3,9095867360,1,1,1,1,1,1,5.1_swing,all_fallback,3
23530,롯데쇼핑,107500,5,10.6,-5.12,11164627500,0,0,0,0,0,0,6.0_force,all_fallback,2
236200,슈프리마,51500,10,5.21,13.56,3952110000,1,1,1,1,1,1,5.1_swing,all_fallback,3
241560,두산밥캣,61800,0,1.81,-4.48,25249811400,0,0,0,0,0,0,7.0_early,all_fallback,1
241770,메카로,36700,9,30.84,56.17,3600673700,1,1,1,1,1,1,5.1_swing,all_fallback,3
242040,나무기술,7210,0,47.14,99.72,31898597360,0,0,0,0,0,0,7.0_early,all_fallback,1
24740,한일단조,3160,0,3.95,37.69,8184968800,0,0,0,0,0,0,7.0_early,all_fallback,1
24850,HLB이노베이션,5050,8,44.91,62.38,59887687400,1,1,1,0,1,1,5.0_stable,all_fallback,4
250,삼천당제약,795000,9,1.02,48.6,261456420000,1,1,1,0,1,1,5.1_swing,all_fallback,3
25860,남해화학,8520,7,-2.41,17.19,45335857200,1,1,1,0,0,0,5.0_stable,all_fallback,4
259630,엠플러스,13060,0,2.43,2.67,3029880820,0,0,0,0,0,0,7.0_early,all_fallback,1
261780,차백신연구소,4085,9,27.46,51.58,125826582585,1,1,1,1,1,1,5.1_swing,all_fallback,3
272110,케이엔제이,38050,7,5.4,20.22,4146574850,1,1,0,0,1,0,5.1_swing,all_fallback,3
27360,아주IB투자,7660,8,27.24,55.69,57380454860,1,1,0,1,1,1,5.0_stable,all_fallback,4
