code,name,close,차트점수,5일변화율(%),20일변화율(%),거래대금(원),20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,scan_tag,candidate_source,scan_priority,entry1,entry2,stop_calc,target1,target2,risk,rr,entry_gap_pct,entry_status,entry_comment,status_order
9450,경동나비엔,66800,8,8.44,-1.18,6626226000,1,1,1,1,1,0,5.1_swing,all_fallback,3,65998.4,65130.0,63176.1,70808.0,74816.0,2822.3,1.7,1.2,PASS,"보상비 우수, 우선 검토",0
327260,RF머트리얼즈,60500,8,-6.06,53.55,51690474000,1,1,1,0,1,0,5.0_stable,all_fallback,4,59169.0,58080.0,56337.6,63827.5,66550.0,2831.4,1.65,2.2,PASS,"보상비 우수, 우선 검토",0
11070,LG이노텍,286000,8,12.6,17.94,96577624000,1,1,1,0,1,0,5.1_swing,all_fallback,3,278850.0,273130.0,264936.1,301730.0,314600.0,13913.9,1.64,2.5,PASS,"보상비 우수, 우선 검토",0
19210,와이지-원,12810,8,8.56,38.34,40202634990,1,1,1,0,1,0,5.0_stable,all_fallback,4,12489.75,12233.55,11866.54,13514.55,14091.0,623.21,1.64,2.5,PASS,"보상비 우수, 우선 검토",0
297090,씨에스베어링,7880,8,8.39,21.98,17818665760,1,1,1,0,1,0,5.1_swing,all_fallback,3,7683.0,7525.4,7299.64,8313.4,8668.0,383.36,1.64,2.5,PASS,"보상비 우수, 우선 검토",0
34830,한국토지신탁,1697,8,15.29,23.33,14151374638,1,1,1,0,1,0,5.1_swing,all_fallback,3,1654.58,1620.63,1572.02,1790.33,1866.7,82.56,1.64,2.5,PASS,"보상비 우수, 우선 검토",0
35510,신세계 I&C,23200,7,44.1,28.53,32832129600,1,1,1,0,1,0,5.0_stable,all_fallback,4,22620.0,22156.0,21491.32,24476.0,25520.0,1128.68,1.64,2.5,PASS,"보상비 우수, 우선 검토",0
