스캐너,종목수,평균종가수익률(%),평균장중최대상승률(%),종가상승확률(%),장중3%상승확률(%)
5.0_stable,5,-2.55,2.15,40,60
5.1_swing,111,-0.39,5.81,40.54,70.27
6.0_force,50,-0.76,4.34,42,62
7.0_early,261,0.11,5.78,43.3,71.26
,,,,,
,,,,,
,,,,,
