스캐너,파일종류,종목코드,종목명,전일종가,금일종가,장중최대상승률(%),종가수익률(%)
5.0_stable,all,263750,펄어비스,63600,65600,5.19,3.14
5.0_stable,all,456160,지투지바이오,93500,91600,1.28,-2.03
5.0_stable,all,012510,더존비즈온,119100,119100,0.17,0.0
5.0_stable,all,353200,대덕전자,67200,74800,12.5,11.31
5.0_stable,all,222800,심텍,56500,59600,7.61,5.49
5.0_stable,all,005935,삼성전자우,141000,149100,5.85,5.74
5.0_stable,all,034020,두산에너빌리티,104400,107300,4.02,2.78
5.0_stable,all,298380,에이비엘바이오,191000,195500,4.19,2.36
5.0_stable,all,443060,HD현대마린솔루션,176900,183400,3.96,3.67
5.0_stable,all,263750,펄어비스,63600,65600,5.19,3.14
5.0_stable,all,012510,더존비즈온,119100,119100,0.17,0.0
5.0_stable,all,017960,한국카본,48650,48750,3.6,0.21
5.0_stable,all,100790,미래에셋벤처투자,22850,24050,12.04,5.25
5.0_stable,all,079370,제우스,17050,18310,9.03,7.39
5.1_swing,all,034020,두산에너빌리티,104400,107300,4.02,2.78
5.1_swing,all,006800,미래에셋증권,69100,69900,3.18,1.16
5.1_swing,all,009150,삼성전기,446500,464000,4.14,3.92
5.1_swing,all,047810,한국항공우주,202000,194300,0.0,-3.81
5.1_swing,all,079550,LIG넥스원,705000,689000,0.14,-2.27
5.1_swing,all,278470,에이피알,349000,362000,5.16,3.72
5.1_swing,all,950160,코오롱티슈진,102000,100700,1.47,-1.27
5.1_swing,all,087010,펩트론,311000,328000,6.67,5.47
5.1_swing,all,141080,리가켐바이오,210000,211000,4.29,0.48
5.1_swing,all,310210,보로노이,347000,339000,3.6,-2.31
5.1_swing,all,240810,원익IPS,118600,124500,4.97,4.97
5.1_swing,all,263750,펄어비스,63600,65600,5.19,3.14
5.1_swing,all,489790,한화비전,76900,83900,11.7,9.1
5.1_swing,all,012510,더존비즈온,119100,119100,0.17,0.0
5.1_swing,all,440110,파두,62700,62500,4.15,-0.32
5.1_swing,all,353200,대덕전자,67200,74800,12.5,11.31
5.1_swing,all,00680K,미래에셋증권2우B,21050,21100,1.9,0.24
5.1_swing,all,010060,OCI홀딩스,165000,193600,20.91,17.33
5.1_swing,all,178320,서진시스템,45650,45200,3.83,-0.99
5.1_swing,all,064760,티씨케이,230500,236000,3.9,2.39
5.1_swing,all,347700,스피어,50400,48750,3.57,-3.27
5.1_swing,all,005440,현대지에프홀딩스,15410,15420,0.78,0.06
5.1_swing,all,017960,한국카본,48650,48750,3.6,0.21
5.1_swing,all,089030,테크윙,60900,62000,3.94,1.81
5.1_swing,all,031980,피에스케이홀딩스,103700,108200,7.33,4.34
5.1_swing,all,222800,심텍,56500,59600,7.61,5.49
5.1_swing,all,001120,LX인터내셔널,45000,43050,0.89,-4.33
5.1_swing,all,078600,대주전자재료,113300,118500,7.41,4.59
5.1_swing,all,456160,지투지바이오,93500,91600,1.28,-2.03
5.1_swing,all,127120,제이에스링크,40050,38650,3.12,-3.5
5.1_swing,all,004000,롯데정밀화학,51100,54700,7.44,7.05
5.1_swing,all,389470,인벤티지랩,87000,83900,1.61,-3.56
5.1_swing,all,089970,브이엠,41050,45900,14.25,11.81
5.1_swing,all,126340,비나텍,130900,135600,6.65,3.59
5.1_swing,all,074600,원익QnC,33400,34050,3.29,1.95
5.1_swing,all,420770,기가비스,70400,77300,13.07,9.8
5.1_swing,all,348210,넥스틴,79500,80800,2.89,1.64
5.1_swing,all,102940,코오롱생명과학,61000,61100,2.79,0.16
5.1_swing,all,083450,GST,29700,30950,4.21,4.21
5.1_swing,all,194480,데브시스터즈,41150,42250,3.28,2.67
5.1_swing,all,309710,아이티켐,36350,37400,6.6,2.89
5.1_swing,all,110990,디아이티,22700,22650,1.76,-0.22
5.1_swing,all,025860,남해화학,8900,8090,-2.36,-9.1
5.1_swing,all,010820,퍼스텍,7550,7550,4.37,0.0
5.1_swing,all,005010,휴스틸,4910,5120,5.7,4.28
5.1_swing,all,044450,KSS해운,10480,10590,3.15,1.05
5.1_swing,all,091580,상신이디피,17850,18400,7.45,3.08
5.1_swing,all,000440,중앙에너비스,32450,28700,-3.7,-11.56
5.1_swing,all,005860,한일사료,4390,4000,-2.62,-8.88
5.1_swing,all,065450,빅텍,5000,5040,2.4,0.8
5.1_swing,all,004140,동방,2710,2765,4.06,2.03
5.1_swing,all,024740,한일단조,3235,3095,-0.31,-4.33
5.1_swing,all,448710,코츠테크놀로지,20250,20250,0.99,0.0
5.1_swing,all,006890,태경케미컬,8650,8470,-0.23,-2.08
5.1_swing,all,005935,삼성전자우,141000,149100,5.85,5.74
5.1_swing,all,034020,두산에너빌리티,104400,107300,4.02,2.78
5.1_swing,all,009150,삼성전기,446500,464000,4.14,3.92
5.1_swing,all,010120,LS ELECTRIC,762000,833000,10.1,9.32
5.1_swing,all,000250,삼천당제약,739000,784000,8.8,6.09
5.1_swing,all,017670,SK텔레콤,79700,81200,2.26,1.88
5.1_swing,all,298380,에이비엘바이오,191000,195500,4.19,2.36
5.1_swing,all,009830,한화솔루션,49450,50800,3.94,2.73
5.1_swing,all,087010,펩트론,311000,328000,6.67,5.47
5.1_swing,all,310210,보로노이,347000,339000,3.6,-2.31
5.1_swing,all,263750,펄어비스,63600,65600,5.19,3.14
5.1_swing,all,012510,더존비즈온,119100,119100,0.17,0.0
5.1_swing,all,353200,대덕전자,67200,74800,12.5,11.31
5.1_swing,all,083650,비에이치아이,105100,105600,2.76,0.48
5.1_swing,all,440110,파두,62700,62500,4.15,-0.32
5.1_swing,all,178320,서진시스템,45650,45200,3.83,-0.99
5.1_swing,all,347700,스피어,50400,48750,3.57,-3.27
5.1_swing,all,222800,심텍,56500,59600,7.61,5.49
5.1_swing,all,039200,오스코텍,54900,58400,7.65,6.38
5.1_swing,all,090710,휴림로봇,13440,14890,13.17,10.79
5.1_swing,all,004000,롯데정밀화학,51100,54700,7.44,7.05
5.1_swing,all,295310,에이치브이엠,102900,96600,4.96,-6.12
5.1_swing,all,183300,코미코,117000,120000,3.33,2.56
5.1_swing,all,003160,디아이,35650,37250,6.87,4.49
5.1_swing,all,089970,브이엠,41050,45900,14.25,11.81
5.1_swing,all,074600,원익QnC,33400,34050,3.29,1.95
5.1_swing,all,005880,대한해운,2370,2270,1.48,-4.22
5.1_swing,all,365340,성일하이텍,59300,59600,3.54,0.51
5.1_swing,all,425420,티에프이,55900,57600,5.01,3.04
5.1_swing,all,046890,서울반도체,11000,11480,6.91,4.36
5.1_swing,all,234340,헥토파이낸셜,38000,37400,6.05,-1.58
5.1_swing,all,122640,예스티,24550,24500,2.85,-0.2
5.1_swing,all,107640,한중엔시에스,54300,54000,2.95,-0.55
5.1_swing,all,327260,RF머트리얼즈,56300,55700,2.13,-1.07
5.1_swing,all,065660,안트로젠,46400,43400,0.22,-6.47
5.1_swing,all,031430,신세계인터내셔날,12750,12510,4.16,-1.88
5.1_swing,all,025860,남해화학,8900,8090,-2.36,-9.1
5.1_swing,all,098070,한텍,39500,42200,8.73,6.84
5.1_swing,all,290550,디케이티,18000,18890,6.39,4.94
5.1_swing,all,024060,흥구석유,22750,20050,-3.08,-11.87
5.1_swing,all,000390,삼화페인트,11000,10940,7.18,-0.55
5.1_swing,all,322310,오로스테크놀로지,31000,33700,10.97,8.71
5.1_swing,all,117580,대성에너지,10310,9770,-1.94,-5.24
5.1_swing,all,112290,와이씨켐,27700,27250,2.53,-1.62
5.1_swing,all,361390,제노코,28800,29750,5.73,3.3
5.1_swing,all,418550,제이오,8380,8290,2.63,-1.07
5.1_swing,all,289930,웨이비스,19250,19450,3.79,1.04
5.1_swing,all,199820,제일일렉트릭,10720,11830,20.62,10.35
5.1_swing,all,091580,상신이디피,17850,18400,7.45,3.08
5.1_swing,all,321550,티움바이오,7800,8680,14.62,11.28
5.1_swing,all,380540,옵티코어,4360,4230,2.75,-2.98
5.1_swing,all,232680,라온로보틱스,15830,15920,3.03,0.57
5.1_swing,all,000440,중앙에너비스,32450,28700,-3.7,-11.56
5.1_swing,all,005860,한일사료,4390,4000,-2.62,-8.88
5.1_swing,all,039560,다산네트웍스,4325,4210,3.7,-2.66
5.1_swing,all,225190,LK삼양,2295,2320,5.88,1.09
5.1_swing,all,083500,에프엔에스테크,15600,16890,9.42,8.27
5.1_swing,all,005930,삼성전자,193900,208500,7.79,7.53
5.1_swing,all,000660,SK하이닉스,970000,1056000,9.28,8.87
5.1_swing,all,005935,삼성전자우,141000,149100,5.85,5.74
5.1_swing,all,005380,현대차,522000,545000,4.41,4.41
5.1_swing,all,402340,SK스퀘어,587000,630000,8.52,7.33
5.1_swing,all,034020,두산에너빌리티,104400,107300,4.02,2.78
5.1_swing,all,000270,기아,167300,175100,5.38,4.66
5.1_swing,all,032830,삼성생명,217000,235000,13.13,8.29
5.1_swing,all,006400,삼성SDI,389000,405000,4.11,4.11
5.1_swing,all,042700,한미반도체,301000,311000,3.82,3.32
5.1_swing,all,272210,한화시스템,138900,139800,1.3,0.65
5.1_swing,all,298040,효성중공업,2546000,2731000,8.44,7.27
5.1_swing,all,000150,두산,1110000,1189000,8.56,7.12
5.1_swing,all,000250,삼천당제약,739000,784000,8.8,6.09
5.1_swing,all,017670,SK텔레콤,79700,81200,2.26,1.88
5.1_swing,all,039490,키움증권,444000,469000,6.98,5.63
5.1_swing,all,005940,NH투자증권,32400,34200,5.71,5.56
5.1_swing,all,298380,에이비엘바이오,191000,195500,4.19,2.36
5.1_swing,all,005387,현대차2우B,267500,279500,4.49,4.49
5.1_swing,all,016360,삼성증권,97400,101500,4.62,4.21
5.1_swing,all,058470,리노공업,110000,116600,6.0,6.0
5.1_swing,all,006260,LS,263000,282000,8.37,7.22
5.1_swing,all,443060,HD현대마린솔루션,176900,183400,3.96,3.67
5.1_swing,all,087010,펩트론,311000,328000,6.67,5.47
5.1_swing,all,005385,현대차우,267500,279500,4.49,4.49
5.1_swing,all,011070,LG이노텍,255500,268500,5.28,5.09
5.1_swing,all,271560,오리온,131100,134000,2.82,2.21
5.1_swing,all,039030,이오테크닉스,394500,410500,4.56,4.06
5.1_swing,all,036570,엔씨소프트,224500,230000,2.67,2.45
5.1_swing,all,062040,산일전기,139800,154900,11.73,10.8
5.1_swing,all,088350,한화생명,4790,5250,14.2,9.6
5.1_swing,all,489790,한화비전,76900,83900,11.7,9.1
5.1_swing,all,263750,펄어비스,63600,65600,5.19,3.14
5.1_swing,all,103590,일진전기,78200,82300,5.37,5.24
5.1_swing,all,012510,더존비즈온,119100,119100,0.17,0.0
5.1_swing,all,011780,금호석유화학,122900,136300,12.29,10.9
5.1_swing,all,011170,롯데케미칼,70200,82000,20.37,16.81
5.1_swing,all,357780,솔브레인,422000,440000,5.21,4.27
5.1_swing,all,145020,휴젤,250000,269500,9.2,7.8
5.1_swing,all,237690,에스티팜,153400,155800,3.0,1.56
5.1_swing,all,440110,파두,62700,62500,4.15,-0.32
5.1_swing,all,009420,한올바이오파마,56200,57400,2.31,2.14
5.1_swing,all,084370,유진테크,121400,129300,7.25,6.51
5.1_swing,all,036930,주성엔지니어링,61100,62900,4.91,2.95
5.1_swing,all,475830,오름테라퓨틱,121500,129600,7.65,6.67
5.1_swing,all,051600,한전KPS,59300,60300,2.19,1.69
5.1_swing,all,064760,티씨케이,230500,236000,3.9,2.39
5.1_swing,all,017960,한국카본,48650,48750,3.6,0.21
5.1_swing,all,031980,피에스케이홀딩스,103700,108200,7.33,4.34
5.1_swing,all,067310,하나마이크론,31250,34050,10.24,8.96
5.1_swing,all,222800,심텍,56500,59600,7.61,5.49
5.1_swing,all,099320,쎄트렉아이,187500,193200,5.33,3.04
5.1_swing,all,375500,DL이앤씨,47250,51600,12.38,9.21
5.1_swing,all,120110,코오롱인더,70100,71000,1.57,1.28
5.1_swing,all,038500,삼표시멘트,17390,17750,4.14,2.07
5.1_swing,all,078600,대주전자재료,113300,118500,7.41,4.59
5.1_swing,all,003380,하림지주,15480,15760,2.45,1.81
5.1_swing,all,298020,효성티앤씨,348000,394500,17.96,13.36
5.1_swing,all,174900,앱클론,83000,81000,1.2,-2.41
5.1_swing,all,048410,현대바이오,15540,16670,7.4,7.27
5.1_swing,all,004000,롯데정밀화학,51100,54700,7.44,7.05
5.1_swing,all,082640,동양생명,8490,8650,5.3,1.88
5.1_swing,all,100790,미래에셋벤처투자,22850,24050,12.04,5.25
5.1_swing,all,183300,코미코,117000,120000,3.33,2.56
5.1_swing,all,001740,SK네트웍스,5380,5600,5.58,4.09
5.1_swing,all,213420,덕산네오룩스,46600,46850,2.79,0.54
5.1_swing,all,295310,에이치브이엠,102900,96600,4.96,-6.12
5.1_swing,all,006120,SK디스커버리,58700,61500,7.16,4.77
5.1_swing,all,420770,기가비스,70400,77300,13.07,9.8
5.1_swing,all,126340,비나텍,130900,135600,6.65,3.59
5.1_swing,all,468530,프로티나,85900,86100,2.56,0.23
5.1_swing,all,078160,메디포스트,22200,23250,10.36,4.73
5.1_swing,all,001510,SK증권,1730,1880,14.74,8.67
5.1_swing,all,253590,네오셈,19150,19880,6.53,3.81
5.1_swing,all,102710,이엔에프테크놀로지,56600,59300,4.77,4.77
5.1_swing,all,425420,티에프이,55900,57600,5.01,3.04
5.1_swing,all,060280,큐렉소,15170,16350,9.56,7.78
5.1_swing,all,200710,에이디테크놀로지,48250,46400,3.01,-3.83
5.1_swing,all,077360,덕산하이메탈,12280,12720,4.8,3.58
5.1_swing,all,083450,GST,29700,30950,4.21,4.21
5.1_swing,all,079370,제우스,17050,18310,9.03,7.39
5.1_swing,all,105840,우진,26400,27150,4.17,2.84
5.1_swing,all,101160,월덱스,31700,32550,4.89,2.68
5.1_swing,all,001200,유진투자증권,4900,5140,6.73,4.9
5.1_swing,all,900290,GRT,6210,6000,2.9,-3.38
5.1_swing,all,309710,아이티켐,36350,37400,6.6,2.89
5.1_swing,all,098070,한텍,39500,42200,8.73,6.84
5.1_swing,all,089890,코세스,28000,28050,4.11,0.18
5.1_swing,all,092870,엑시콘,30550,31850,4.42,4.26
5.1_swing,all,080580,오킨스전자,18570,19520,7.16,5.12
5.1_swing,all,290550,디케이티,18000,18890,6.39,4.94
5.1_swing,all,200470,에이팩트,7650,8350,10.85,9.15
5.1_swing,all,389020,자람테크놀로지,53600,55500,4.85,3.54
5.1_swing,all,314130,지놈앤컴퍼니,8610,8750,8.71,1.63
5.1_swing,all,000390,삼화페인트,11000,10940,7.18,-0.55
5.1_swing,all,056090,시지메드텍,2805,2880,5.17,2.67
5.1_swing,all,042370,비츠로테크,10820,11320,20.06,4.62
5.1_swing,all,005010,휴스틸,4910,5120,5.7,4.28
5.1_swing,all,112290,와이씨켐,27700,27250,2.53,-1.62
5.1_swing,all,085910,네오티스,16790,19650,18.64,17.03
5.1_swing,all,457550,우진엔텍,28250,28800,4.6,1.95
5.1_swing,all,053690,한미글로벌,20100,21200,6.47,5.47
5.1_swing,all,078150,HB테크놀러지,2150,2230,5.58,3.72
5.1_swing,all,389030,지니너스,5700,6050,8.77,6.14
5.1_swing,all,432720,퀄리타스반도체,13700,14230,15.18,3.87
5.1_swing,all,123330,제닉,26500,24600,3.4,-7.17
5.1_swing,all,037350,성도이엔지,10910,12250,16.04,12.28
5.1_swing,all,126730,코칩,19100,20100,9.95,5.24
5.1_swing,all,234690,녹십자웰빙,9100,9900,14.29,8.79
5.1_swing,all,011700,한신기계,4970,5150,6.44,3.62
5.1_swing,all,048530,인트론바이오,4690,4870,9.59,3.84
5.1_swing,all,065450,빅텍,5000,5040,2.4,0.8
5.1_swing,all,005870,휴니드,8600,9030,7.21,5.0
5.1_swing,all,307930,컴퍼니케이,6950,7680,17.41,10.5
5.1_swing,all,396470,워트,6800,7080,13.68,4.12
6.0_force,all,034020,두산에너빌리티,104400,107300,4.02,2.78
6.0_force,all,010140,삼성중공업,29150,29100,1.54,-0.17
6.0_force,all,141080,리가켐바이오,210000,211000,4.29,0.48
6.0_force,all,263750,펄어비스,63600,65600,5.19,3.14
6.0_force,all,012510,더존비즈온,119100,119100,0.17,0.0
6.0_force,all,010060,OCI홀딩스,165000,193600,20.91,17.33
6.0_force,all,017960,한국카본,48650,48750,3.6,0.21
6.0_force,all,222800,심텍,56500,59600,7.61,5.49
6.0_force,all,001120,LX인터내셔널,45000,43050,0.89,-4.33
6.0_force,all,456160,지투지바이오,93500,91600,1.28,-2.03
6.0_force,all,004000,롯데정밀화학,51100,54700,7.44,7.05
6.0_force,all,074600,원익QnC,33400,34050,3.29,1.95
6.0_force,all,348210,넥스틴,79500,80800,2.89,1.64
6.0_force,all,083450,GST,29700,30950,4.21,4.21
6.0_force,all,194480,데브시스터즈,41150,42250,3.28,2.67
6.0_force,all,110990,디아이티,22700,22650,1.76,-0.22
6.0_force,all,025860,남해화학,8900,8090,-2.36,-9.1
6.0_force,all,005010,휴스틸,4910,5120,5.7,4.28
6.0_force,all,091580,상신이디피,17850,18400,7.45,3.08
6.0_force,all,005860,한일사료,4390,4000,-2.62,-8.88
6.0_force,all,004140,동방,2710,2765,4.06,2.03
6.0_force,all,448710,코츠테크놀로지,20250,20250,0.99,0.0
6.0_force,all,006890,태경케미컬,8650,8470,-0.23,-2.08
6.0_force,all,005935,삼성전자우,141000,149100,5.85,5.74
6.0_force,all,034020,두산에너빌리티,104400,107300,4.02,2.78
6.0_force,all,329180,HD현대중공업,587000,590000,1.87,0.51
6.0_force,all,017670,SK텔레콤,79700,81200,2.26,1.88
6.0_force,all,298380,에이비엘바이오,191000,195500,4.19,2.36
6.0_force,all,087010,펩트론,311000,328000,6.67,5.47
6.0_force,all,251270,넷마블,54800,53700,0.55,-2.01
6.0_force,all,263750,펄어비스,63600,65600,5.19,3.14
6.0_force,all,012510,더존비즈온,119100,119100,0.17,0.0
6.0_force,all,353200,대덕전자,67200,74800,12.5,11.31
6.0_force,all,178320,서진시스템,45650,45200,3.83,-0.99
6.0_force,all,222800,심텍,56500,59600,7.61,5.49
6.0_force,all,004000,롯데정밀화학,51100,54700,7.44,7.05
6.0_force,all,295310,에이치브이엠,102900,96600,4.96,-6.12
6.0_force,all,183300,코미코,117000,120000,3.33,2.56
6.0_force,all,003160,디아이,35650,37250,6.87,4.49
6.0_force,all,089970,브이엠,41050,45900,14.25,11.81
6.0_force,all,253590,네오셈,19150,19880,6.53,3.81
6.0_force,all,005880,대한해운,2370,2270,1.48,-4.22
6.0_force,all,425420,티에프이,55900,57600,5.01,3.04
6.0_force,all,122640,예스티,24550,24500,2.85,-0.2
6.0_force,all,107640,한중엔시에스,54300,54000,2.95,-0.55
6.0_force,all,065660,안트로젠,46400,43400,0.22,-6.47
6.0_force,all,031430,신세계인터내셔날,12750,12510,4.16,-1.88
6.0_force,all,025860,남해화학,8900,8090,-2.36,-9.1
6.0_force,all,112290,와이씨켐,27700,27250,2.53,-1.62
6.0_force,all,321550,티움바이오,7800,8680,14.62,11.28
6.0_force,all,005930,삼성전자,193900,208500,7.79,7.53
6.0_force,all,005935,삼성전자우,141000,149100,5.85,5.74
6.0_force,all,034020,두산에너빌리티,104400,107300,4.02,2.78
6.0_force,all,329180,HD현대중공업,587000,590000,1.87,0.51
6.0_force,all,298040,효성중공업,2546000,2731000,8.44,7.27
6.0_force,all,017670,SK텔레콤,79700,81200,2.26,1.88
6.0_force,all,298380,에이비엘바이오,191000,195500,4.19,2.36
6.0_force,all,443060,HD현대마린솔루션,176900,183400,3.96,3.67
6.0_force,all,087010,펩트론,311000,328000,6.67,5.47
6.0_force,all,271560,오리온,131100,134000,2.82,2.21
6.0_force,all,039030,이오테크닉스,394500,410500,4.56,4.06
6.0_force,all,036570,엔씨소프트,224500,230000,2.67,2.45
6.0_force,all,088350,한화생명,4790,5250,14.2,9.6
6.0_force,all,263750,펄어비스,63600,65600,5.19,3.14
6.0_force,all,012510,더존비즈온,119100,119100,0.17,0.0
6.0_force,all,145020,휴젤,250000,269500,9.2,7.8
6.0_force,all,237690,에스티팜,153400,155800,3.0,1.56
6.0_force,all,009970,영원무역홀딩스,225000,237500,6.44,5.56
6.0_force,all,009420,한올바이오파마,56200,57400,2.31,2.14
6.0_force,all,051600,한전KPS,59300,60300,2.19,1.69
6.0_force,all,017960,한국카본,48650,48750,3.6,0.21
6.0_force,all,067310,하나마이크론,31250,34050,10.24,8.96
6.0_force,all,375500,DL이앤씨,47250,51600,12.38,9.21
6.0_force,all,232140,와이씨,20150,21150,6.7,4.96
6.0_force,all,004000,롯데정밀화학,51100,54700,7.44,7.05
6.0_force,all,082640,동양생명,8490,8650,5.3,1.88
6.0_force,all,229640,LS에코에너지,44400,45050,4.17,1.46
6.0_force,all,100790,미래에셋벤처투자,22850,24050,12.04,5.25
6.0_force,all,001740,SK네트웍스,5380,5600,5.58,4.09
6.0_force,all,006120,SK디스커버리,58700,61500,7.16,4.77
6.0_force,all,420770,기가비스,70400,77300,13.07,9.8
6.0_force,all,078160,메디포스트,22200,23250,10.36,4.73
6.0_force,all,253590,네오셈,19150,19880,6.53,3.81
6.0_force,all,102710,이엔에프테크놀로지,56600,59300,4.77,4.77
6.0_force,all,425420,티에프이,55900,57600,5.01,3.04
6.0_force,all,200710,에이디테크놀로지,48250,46400,3.01,-3.83
6.0_force,all,083450,GST,29700,30950,4.21,4.21
6.0_force,all,079370,제우스,17050,18310,9.03,7.39
6.0_force,all,101160,월덱스,31700,32550,4.89,2.68
6.0_force,all,089890,코세스,28000,28050,4.11,0.18
6.0_force,all,441270,파인엠텍,10550,10990,9.38,4.17
6.0_force,all,080580,오킨스전자,18570,19520,7.16,5.12
6.0_force,all,290550,디케이티,18000,18890,6.39,4.94
6.0_force,all,200470,에이팩트,7650,8350,10.85,9.15
6.0_force,all,314130,지놈앤컴퍼니,8610,8750,8.71,1.63
6.0_force,all,000390,삼화페인트,11000,10940,7.18,-0.55
6.0_force,all,042370,비츠로테크,10820,11320,20.06,4.62
6.0_force,all,112290,와이씨켐,27700,27250,2.53,-1.62
6.0_force,all,053690,한미글로벌,20100,21200,6.47,5.47
6.0_force,all,078150,HB테크놀러지,2150,2230,5.58,3.72
6.0_force,all,432720,퀄리타스반도체,13700,14230,15.18,3.87
6.0_force,all,123330,제닉,26500,24600,3.4,-7.17
6.0_force,all,234690,녹십자웰빙,9100,9900,14.29,8.79
6.0_force,all,005870,휴니드,8600,9030,7.21,5.0
6.0_force,all,307930,컴퍼니케이,6950,7680,17.41,10.5
6.0_force,all,396470,워트,6800,7080,13.68,4.12
7.0_early,all,005935,삼성전자우,141000,149100,5.85,5.74
7.0_early,all,012450,한화에어로스페이스,1396000,1390000,1.36,-0.43
7.0_early,all,034020,두산에너빌리티,104400,107300,4.02,2.78
7.0_early,all,329180,HD현대중공업,587000,590000,1.87,0.51
7.0_early,all,006800,미래에셋증권,69100,69900,3.18,1.16
7.0_early,all,009150,삼성전기,446500,464000,4.14,3.92
7.0_early,all,010140,삼성중공업,29150,29100,1.54,-0.17
7.0_early,all,010120,LS ELECTRIC,762000,833000,10.1,9.32
7.0_early,all,047810,한국항공우주,202000,194300,0.0,-3.81
7.0_early,all,000720,현대건설,161000,170100,7.83,5.65
7.0_early,all,000150,두산,1110000,1189000,8.56,7.12
7.0_early,all,079550,LIG넥스원,705000,689000,0.14,-2.27
7.0_early,all,047050,포스코인터내셔널,72000,71600,2.43,-0.56
7.0_early,all,278470,에이피알,349000,362000,5.16,3.72
7.0_early,all,950160,코오롱티슈진,102000,100700,1.47,-1.27
