등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,매집점수,돌파점수,총점,기준일자
B,KOSPI,005930,삼성전자,208500,9.74,16.74,5192682700500,6,4,3,13,20260318
A,KOSPI,005935,삼성전자우,149100,7.34,22.11,774780705300,7,4,5,16,20260318
A,KOSPI,034020,두산에너빌리티,107300,6.24,12.36,443611248400,7,3,5,15,20260318
B,KOSPI,329180,HD현대중공업,590000,0.0,9.46,134579590000,5,4,3,12,20260318
B,KOSPI,298040,효성중공업,2731000,7.82,13.56,138396156000,5,4,3,12,20260318
B,KOSPI,017670,SK텔레콤,81200,4.24,4.1,65498274800,5,4,3,12,20260318
A,KOSDAQ,298380,에이비엘바이오,195500,7.18,3.33,100932153500,7,4,4,15,20260318
B,KOSPI,443060,HD현대마린솔루션,183400,3.15,10.22,21189119000,7,4,3,14,20260318
B,KOSDAQ,087010,펩트론,328000,8.61,31.99,67703464000,7,2,5,14,20260318
B,KOSPI,271560,오리온,134000,3.88,-3.32,11822016000,5,4,3,12,20260318
B,KOSDAQ,039030,이오테크닉스,410500,3.01,8.45,40423166500,5,4,3,12,20260318
B,KOSPI,036570,엔씨소프트,230000,9.52,6.73,19176250000,5,4,3,12,20260318
B,KOSPI,088350,한화생명,5250,2.94,16.8,158239179000,6,3,3,12,20260318
B,KOSDAQ,263750,펄어비스,65600,6.84,22.62,90244608000,6,4,3,13,20260318
B,KOSPI,012510,더존비즈온,119100,0.08,37.69,37029857400,6,2,5,13,20260318
A,KOSDAQ,145020,휴젤,269500,8.67,2.28,31484876500,8,4,5,17,20260318
B,KOSDAQ,237690,에스티팜,155800,-1.95,5.48,16390160000,5,4,3,12,20260318
B,KOSPI,009970,영원무역홀딩스,237500,3.04,-1.86,5509287500,5,4,3,12,20260318
B,KOSPI,009420,한올바이오파마,57400,0.0,6.1,19478977000,5,4,3,12,20260318
B,KOSPI,051600,한전KPS,60300,7.3,4.33,11025493200,5,4,3,12,20260318
B,KOSPI,017960,한국카본,48750,3.5,39.68,38498362500,6,2,5,13,20260318
B,KOSDAQ,067310,하나마이크론,34050,5.75,-2.16,94378257750,5,4,3,12,20260318
A,KOSPI,375500,DL이앤씨,51600,6.5,3.61,40347949200,8,4,3,15,20260318
B,KOSDAQ,232140,와이씨,21150,2.67,2.92,27630804150,5,4,3,12,20260318
A,KOSPI,004000,롯데정밀화학,54700,5.6,11.29,9564295000,8,5,5,18,20260318
B,KOSPI,082640,동양생명,8650,4.34,18.01,6082532950,7,3,3,13,20260318
B,KOSPI,229640,LS에코에너지,45050,6.5,2.97,6483370750,4,5,3,12,20260318
B,KOSDAQ,100790,미래에셋벤처투자,24050,5.71,7.37,117868400650,7,3,3,13,20260318
B,KOSPI,001740,SK네트웍스,5600,5.46,8.32,6055884800,5,4,3,12,20260318
A,KOSPI,006120,SK디스커버리,61500,7.33,8.27,8355697500,8,5,4,17,20260318
B,KOSDAQ,420770,기가비스,77300,-0.13,32.36,10596515900,7,2,5,14,20260318
B,KOSDAQ,078160,메디포스트,23250,6.16,3.56,8898519000,7,3,4,14,20260318
B,KOSDAQ,253590,네오셈,19880,0.76,22.72,36916225640,6,3,3,12,20260318
B,KOSDAQ,102710,이엔에프테크놀로지,59300,1.72,-1.17,7703010700,5,4,4,13,20260318
B,KOSDAQ,425420,티에프이,57600,-3.19,26.87,12716409600,6,3,3,12,20260318
B,KOSDAQ,200710,에이디테크놀로지,46400,-4.92,16.29,25936625600,5,4,3,12,20260318
B,KOSDAQ,083450,GST,30950,5.09,6.17,8430253850,5,4,3,12,20260318
A,KOSDAQ,079370,제우스,18310,6.76,2.63,22314708270,8,4,5,17,20260318
A,KOSDAQ,101160,월덱스,32550,7.96,24.24,6685965300,7,4,4,15,20260318
B,KOSDAQ,089890,코세스,28050,9.36,24.67,6190466700,6,4,3,13,20260318
B,KOSDAQ,441270,파인엠텍,10990,7.85,-5.83,8107323000,5,4,3,12,20260318
B,KOSDAQ,080580,오킨스전자,19520,0.98,30.92,11831306240,7,2,4,13,20260318
B,KOSDAQ,290550,디케이티,18890,-0.21,64.55,8748223460,7,2,3,12,20260318
B,KOSDAQ,200470,에이팩트,8350,8.02,12.23,14859801950,6,3,3,12,20260318
B,KOSDAQ,314130,지놈앤컴퍼니,8750,9.79,6.06,5762916250,5,4,3,12,20260318
B,KOSPI,000390,삼화페인트,10940,3.8,9.51,91809727160,6,4,4,14,20260318
B,KOSDAQ,042370,비츠로테크,11320,8.22,3.47,50268825880,6,4,4,14,20260318
B,KOSDAQ,112290,와이씨켐,27250,2.25,14.5,7276649250,6,3,4,13,20260318
A,KOSPI,053690,한미글로벌,21200,9.0,3.16,7572025200,8,4,4,16,20260318
A,KOSDAQ,078150,HB테크놀러지,2230,6.7,3.24,6163546060,8,4,5,17,20260318
B,KOSDAQ,432720,퀄리타스반도체,14230,9.63,8.46,37389381920,7,4,3,14,20260318
B,KOSDAQ,123330,제닉,24600,0.61,9.09,8295366000,6,3,3,12,20260318
A,KOSDAQ,234690,녹십자웰빙,9900,7.38,3.23,7974341100,8,5,4,17,20260318
B,KOSPI,005870,휴니드,9030,3.79,6.74,5468333220,5,4,3,12,20260318
B,KOSDAQ,307930,컴퍼니케이,7680,8.47,4.07,13817894400,6,4,3,13,20260318
B,KOSDAQ,396470,워트,7080,2.76,-4.19,6070901760,5,5,3,13,20260318
