등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,매집점수,돌파점수,총점,기준일자
B,KOSPI,005935,삼성전자우,141000,4.83,21.45,588439530000,6,4,3,13,20260317
B,KOSPI,034020,두산에너빌리티,104400,1.85,9.32,324262224000,6,3,3,12,20260317
B,KOSPI,329180,HD현대중공업,587000,0.69,9.31,96687705000,5,4,3,12,20260317
B,KOSPI,017670,SK텔레콤,79700,3.24,5.7,80511744500,5,4,3,12,20260317
B,KOSDAQ,298380,에이비엘바이오,191000,3.13,2.14,126214328000,6,4,2,12,20260317
B,KOSDAQ,087010,펩트론,311000,7.61,24.65,49172521000,6,3,4,13,20260317
B,KOSPI,251270,넷마블,54800,-0.72,-5.35,18891642400,5,5,3,13,20260317
B,KOSDAQ,263750,펄어비스,63600,-1.4,19.1,71419874400,5,4,3,12,20260317
B,KOSPI,012510,더존비즈온,119100,0.08,37.37,25919494800,6,2,5,13,20260317
A,KOSPI,353200,대덕전자,67200,4.02,17.28,130595875200,7,3,5,15,20260317
B,KOSDAQ,178320,서진시스템,45650,1.44,22.22,226162516800,6,3,3,12,20260317
A,KOSDAQ,222800,심텍,56500,7.21,7.82,52241312500,7,3,5,15,20260317
A,KOSPI,004000,롯데정밀화학,51100,6.13,6.57,5169122700,7,5,5,17,20260317
B,KOSDAQ,295310,에이치브이엠,102900,8.32,12.58,31997372400,5,4,4,13,20260317
A,KOSDAQ,183300,코미코,117000,8.33,10.69,26876187000,8,4,5,17,20260317
B,KOSPI,003160,디아이,35650,5.63,2.74,25097742600,7,3,4,14,20260317
B,KOSDAQ,089970,브이엠,41050,-0.73,20.74,20701761300,6,3,3,12,20260317
B,KOSDAQ,253590,네오셈,19150,2.57,18.21,33545878450,5,4,3,12,20260317
B,KOSPI,005880,대한해운,2370,8.22,11.79,309370037970,5,4,3,12,20260317
B,KOSDAQ,425420,티에프이,55900,9.82,20.47,18828126200,6,4,3,13,20260317
B,KOSDAQ,122640,예스티,24550,4.91,4.25,5167063050,5,5,4,14,20260317
B,KOSDAQ,107640,한중엔시에스,54300,2.45,6.68,22525757700,6,4,3,13,20260317
B,KOSDAQ,065660,안트로젠,46400,-16.55,19.59,14739099200,5,4,3,12,20260317
B,KOSPI,031430,신세계인터내셔날,12750,5.46,-2.89,17111915250,5,5,4,14,20260317
B,KOSPI,025860,남해화학,8900,7.75,22.09,25677060700,5,4,3,12,20260317
A,KOSDAQ,112290,와이씨켐,27700,5.93,14.94,7460967300,7,4,5,16,20260317
A,KOSDAQ,321550,티움바이오,7800,9.55,24.8,8313442800,7,4,4,15,20260317
