등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,매집점수,돌파점수,총점,기준일자
B,KOSPI,34020,두산에너빌리티," 105,700 ",9.88,12.33," 614,899,919,900 ",6,3,5,14,20260316
B,KOSPI,10140,삼성중공업," 28,750 ",0.7,3.23," 204,678,121,250 ",6,4,3,13,20260316
A,KOSDAQ,141080,리가켐바이오," 201,000 ",5.62,12.61," 76,540,398,000 ",6,5,5,16,20260316
A,KOSDAQ,263750,펄어비스," 68,500 ",3.63,27.56," 84,853,621,500 ",7,3,5,15,20260316
B,KOSPI,12510,더존비즈온," 119,200 ",0.25,41.4," 10,951,857,600 ",7,2,5,14,20260316
B,KOSPI,10060,OCI홀딩스," 158,100 ",7.92,4.08," 31,543,637,700 ",5,4,3,12,20260316
B,KOSPI,17960,한국카본," 45,850 ",2.46,35.45," 22,931,694,100 ",6,3,4,13,20260316
A,KOSDAQ,222800,심텍," 56,000 ",8.11,6.87," 53,813,592,000 ",8,3,5,16,20260316
B,KOSPI,1120,LX인터내셔널," 45,450 ",9.39,3.41," 14,025,051,900 ",6,4,3,13,20260316
B,KOSDAQ,456160,지투지바이오," 100,200 ",4.81,16.38," 454,675,135,200 ",6,4,4,14,20260316
A,KOSPI,4000,롯데정밀화학," 51,100 ",6.46,5.91," 10,320,820,300 ",7,5,5,17,20260316
B,KOSDAQ,74600,원익QnC," 34,850 ",0.58,19.76," 14,965,461,250 ",7,3,3,13,20260316
B,KOSDAQ,348210,넥스틴," 81,100 ",3.44,3.31," 5,126,655,400 ",5,4,3,12,20260316
B,KOSDAQ,83450,GST," 30,450 ",3.75,7.03," 8,700,265,350 ",5,4,3,12,20260316
A,KOSDAQ,194480,데브시스터즈," 42,950 ",5.14,13.77," 10,467,344,500 ",8,4,5,17,20260316
B,KOSDAQ,110990,디아이티," 23,500 ",9.81,9.05," 6,862,963,500 ",7,4,3,14,20260316
B,KOSPI,25860,남해화학," 8,650 ",-3.03,20.31," 49,097,235,650 ",5,4,3,12,20260316
A,KOSPI,5010,휴스틸," 4,810 ",4.45,12.12," 5,397,555,930 ",7,5,4,16,20260316
B,KOSDAQ,91580,상신이디피," 16,140 ",8.32,0.06," 6,120,029,760 ",6,3,3,12,20260316
B,KOSDAQ,5860,한일사료," 4,570 ",0.55,48.14," 105,439,533,560 ",6,3,3,12,20260316
B,KOSPI,4140,동방," 2,750 ",-0.18,5.97," 17,783,026,250 ",6,4,3,13,20260316
B,KOSDAQ,448710,코츠테크놀로지," 21,300 ",-3.62,12.7," 8,230,256,100 ",6,3,3,12,20260316
B,KOSPI,6890,태경케미컬," 9,000 ",0,14.07," 18,999,531,000 ",6,4,3,13,20260316
