등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,매집점수,돌파점수,총점,기준일자
B,KOSPI,005935,삼성전자우,139200,3.96,4.27,994109049600,6,4,3,13,20260320
A,KOSPI,034020,두산에너빌리티,109600,2.91,11.38,877786071200,8,3,5,16,20260320
B,KOSPI,055550,신한지주,97900,7.82,-2.39,270283299000,6,4,3,13,20260320
B,KOSPI,009150,삼성전기,464500,15.98,29.75,298197852000,5,2,5,12,20260320
B,KOSPI,010120,LS ELECTRIC,886000,18.61,31.07,130141882000,5,2,5,12,20260320
B,KOSDAQ,000250,삼천당제약,907000,17.49,41.94,585111142000,7,2,4,13,20260320
B,KOSPI,017670,SK텔레콤,78800,5.07,-3.31,101064309600,6,4,4,14,20260320
B,KOSPI,047050,포스코인터내셔널,77000,4.48,11.27,132738683000,6,3,3,12,20260320
B,KOSPI,278470,에이피알,359500,4.96,25.92,151076280000,6,2,5,13,20260320
B,KOSPI,006260,LS,303500,21.4,20.92,50760982000,6,3,5,14,20260320
B,KOSPI,007660,이수페타시스,126800,18.39,24.68,162557726800,5,4,4,13,20260320
B,KOSPI,009830,한화솔루션,51700,6.16,-11.62,742683993700,5,3,4,12,20260320
B,KOSPI,090430,아모레퍼시픽,140800,7.48,-12.76,39693913600,5,4,3,12,20260320
A,KOSPI,443060,HD현대마린솔루션,182700,5.55,5.42,21544897500,7,4,4,15,20260320
B,KOSDAQ,087010,펩트론,346000,16.11,23.57,95585614000,6,3,5,14,20260320
A,KOSPI,047040,대우건설,19110,55.11,140.98,1839299012460,7,3,5,15,20260320
B,KOSDAQ,141080,리가켐바이오,213000,5.97,19.86,85236636000,7,3,3,13,20260320
B,KOSPI,028050,삼성E&A,35300,7.62,1.0,118505241700,5,5,3,13,20260320
B,KOSPI,052690,한전기술,175500,-1.24,15.77,120286998000,6,3,3,12,20260320
B,KOSPI,078930,GS,69000,8.15,-5.74,38898957000,5,4,3,12,20260320
B,KOSDAQ,240810,원익IPS,125000,5.04,6.93,53435500000,5,4,3,12,20260320
B,KOSPI,088980,맥쿼리인프라,11510,0.96,-0.52,20523504020,6,3,4,13,20260320
A,KOSPI,271560,오리온,137800,6.57,0.58,26445060200,7,4,4,15,20260320
B,KOSDAQ,095340,ISC,247000,33.23,30.69,51907791000,6,3,5,14,20260320
B,KOSDAQ,403870,HPSP,51200,20.05,10.7,200800204800,5,4,3,12,20260320
A,KOSPI,353200,대덕전자,82800,30.81,38.93,202768340400,7,3,5,15,20260320
B,KOSPI,010060,OCI홀딩스,203000,22.29,28.16,82393843000,5,3,4,12,20260320
A,KOSPI,012510,더존비즈온,119300,0.25,30.95,40395695800,7,3,5,15,20260320
B,KOSDAQ,083650,비에이치아이,109500,5.69,31.93,63813096000,7,2,5,14,20260320
B,KOSDAQ,036930,주성엔지니어링,72800,10.14,32.36,448123166400,7,2,4,13,20260320
B,KOSPI,012750,에스원,88900,6.98,-1.77,6086449600,6,4,3,13,20260320
A,KOSDAQ,145020,휴젤,267000,11.48,-0.93,14427345000,6,4,5,15,20260320
A,KOSPI,023530,롯데쇼핑,113500,18.23,2.07,24652881000,7,4,5,16,20260320
B,KOSPI,097950,CJ제일제당,212000,6.11,-4.72,27084908000,6,4,2,12,20260320
