차트등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,기준일자
A,KOSPI,034020,두산에너빌리티,109600,2.91,11.38,877786071200,9,True,True,False,True,True,True,20260320
B,KOSPI,055550,신한지주,97900,7.82,-2.39,270283299000,7,True,True,True,False,True,False,20260320
B,KOSPI,010120,LS ELECTRIC,886000,18.61,31.07,130141882000,7,True,True,False,True,False,True,20260320
B,KOSDAQ,000250,삼천당제약,907000,17.49,41.94,585111142000,8,True,True,True,False,True,True,20260320
B,KOSPI,000150,두산,1186000,7.92,19.8,88479158000,7,True,True,False,False,True,False,20260320
B,KOSPI,000720,현대건설,164000,-0.24,31.94,291930168000,7,True,True,False,False,False,True,20260320
B,KOSPI,047050,포스코인터내셔널,77000,4.48,11.27,132738683000,8,True,True,True,False,True,False,20260320
B,KOSPI,278470,에이피알,359500,4.96,25.92,151076280000,7,True,True,False,False,False,True,20260320
B,KOSPI,039490,키움증권,460500,7.34,-5.54,88074309000,7,True,True,True,False,True,False,20260320
B,KOSPI,006260,LS,303500,21.4,20.92,50760982000,8,True,True,False,True,True,True,20260320
B,KOSPI,016360,삼성증권,102300,7.35,-8.25,138250368300,7,True,True,True,False,True,False,20260320
B,KOSPI,009830,한화솔루션,51700,6.16,-11.62,742683993700,7,True,True,True,False,False,True,20260320
B,KOSPI,377300,카카오페이,64300,10.48,-0.62,60853455700,7,True,True,True,False,True,False,20260320
A,KOSPI,443060,HD현대마린솔루션,182700,5.55,5.42,21544897500,9,True,True,False,True,True,True,20260320
B,KOSDAQ,087010,펩트론,346000,16.11,23.57,95585614000,8,True,True,False,True,True,True,20260320
A,KOSPI,047040,대우건설,19110,55.11,140.98,1839299012460,9,True,True,True,True,True,True,20260320
B,KOSDAQ,141080,리가켐바이오,213000,5.97,19.86,85236636000,7,True,True,False,False,True,False,20260320
B,KOSPI,028050,삼성E&A,35300,7.62,1.0,118505241700,7,True,True,True,False,True,False,20260320
B,KOSPI,052690,한전기술,175500,-1.24,15.77,120286998000,8,True,True,True,False,True,False,20260320
B,KOSPI,078930,GS,69000,8.15,-5.74,38898957000,7,True,True,True,False,True,False,20260320
B,KOSDAQ,240810,원익IPS,125000,5.04,6.93,53435500000,7,True,True,False,False,True,False,20260320
B,KOSPI,271560,오리온,137800,6.57,0.58,26445060200,8,True,True,True,True,True,False,20260320
B,KOSDAQ,095340,ISC,247000,33.23,30.69,51907791000,8,True,True,False,True,True,True,20260320
B,KOSPI,353200,대덕전자,82800,30.81,38.93,202768340400,8,True,True,True,False,True,True,20260320
B,KOSPI,010060,OCI홀딩스,203000,22.29,28.16,82393843000,7,True,True,True,False,False,True,20260320
B,KOSDAQ,226950,올릭스,186900,-4.64,42.35,137576342400,8,True,True,True,False,True,False,20260320
A,KOSPI,012510,더존비즈온,119300,0.25,30.95,40395695800,9,True,True,False,True,True,True,20260320
B,KOSDAQ,083650,비에이치아이,109500,5.69,31.93,63813096000,8,True,True,False,False,True,True,20260320
A,KOSDAQ,036930,주성엔지니어링,72800,10.14,32.36,448123166400,9,True,True,True,False,True,True,20260320
B,KOSDAQ,145020,휴젤,267000,11.48,-0.93,14427345000,8,True,True,False,True,True,True,20260320
B,KOSPI,023530,롯데쇼핑,113500,18.23,2.07,24652881000,8,True,True,True,True,True,True,20260320
B,KOSDAQ,043260,성호전자,45000,-10.71,113.27,101546145000,7,True,True,False,False,True,False,20260320
B,KOSPI,097950,CJ제일제당,212000,6.11,-4.72,27084908000,7,True,True,True,False,True,False,20260320
A,KOSPI,051600,한전KPS,67500,12.13,8.87,89645737500,9,True,True,True,True,True,True,20260320
B,KOSDAQ,064760,티씨케이,253000,8.82,17.13,24101792000,8,True,True,False,True,True,False,20260320
