차트등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,기준일자
B,KOSDAQ,124500,아이티센글로벌,65200,-9.32,33.61,21836979600,7,True,True,False,False,True,False,20260319
A,KOSPI,007810,코리아써키트,62100,20.12,6.34,38219320800,9,True,True,True,True,True,True,20260319
B,KOSDAQ,131290,티에스이,124800,13.45,43.45,10591900800,8,True,True,False,True,True,True,20260319
B,KOSDAQ,127120,제이에스링크,39250,2.75,22.46,10548633750,7,True,True,False,False,True,False,20260319
A,KOSDAQ,183300,코미코,118900,4.39,11.85,13397652000,9,True,True,False,True,True,True,20260319
A,KOSPI,100090,SK오션플랜트,19680,0.61,9.76,19421148960,10,True,True,True,True,True,True,20260319
B,KOSDAQ,032500,케이엠더블유,29200,11.66,58.87,20473609200,7,True,True,False,False,True,False,20260319
B,KOSDAQ,089970,브이엠,48800,23.39,43.32,38071612800,8,True,True,False,True,True,True,20260319
B,KOSDAQ,010170,대한광통신,7390,-3.65,114.2,181512182350,7,True,True,False,False,True,False,20260319
B,KOSDAQ,476060,온코닉테라퓨틱스,25100,11.31,36.93,20470430500,7,True,True,False,False,True,False,20260319
A,KOSPI,003160,디아이,38450,20.16,6.95,35128112250,9,True,True,True,True,True,True,20260319
B,KOSDAQ,126340,비나텍,139400,-3.53,24.69,16747794800,7,True,True,False,False,True,False,20260319
B,KOSDAQ,486990,노타,44850,0.9,21.88,18925758150,7,True,True,False,False,True,False,20260319
B,KOSDAQ,027360,아주IB투자,7660,27.24,55.69,57380454860,8,True,True,False,True,True,True,20260319
B,KOSDAQ,044490,태웅,45300,-7.74,39.81,23340553200,7,True,True,False,False,True,False,20260319
B,KOSDAQ,042520,한스바이오메드,55700,26.88,30.14,16436902900,8,True,True,False,True,True,True,20260319
A,KOSDAQ,356860,티엘비,79800,32.56,43.78,112193613000,9,True,True,True,True,True,True,20260319
B,KOSDAQ,050890,쏠리드,12900,4.03,41.6,204455183100,8,True,True,True,False,False,True,20260319
B,KOSDAQ,024850,HLB이노베이션,5050,44.91,62.38,59887687400,8,True,True,True,False,True,True,20260319
A,KOSDAQ,425420,티에프이,60700,5.2,38.43,15759965900,9,True,True,False,True,True,True,20260319
B,KOSDAQ,448900,한국피아이엠,118500,-7.93,65.27,32058871500,7,True,True,False,False,True,False,20260319
B,KOSPI,011930,신성이엔지,3080,25.71,32.76,311780918680,8,True,True,True,False,True,True,20260319
B,KOSPI,009155,삼성전기우,190400,18.26,46.8,10431825600,8,True,True,False,True,True,True,20260319
