등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),추세점수,매집점수,돌파점수,신규점수,총점,6.0신규,7.0신규,기준일자
B,KOSPI,005930,삼성전자,199400,8.66,4.95,5090184895800,3,3,3,4,13,Y,Y,20260320
B,KOSPI,000660,SK하이닉스,1007000,10.66,12.64,3230923248000,3,3,3,4,13,Y,Y,20260320
A,KOSPI,005935,삼성전자우,139200,3.96,4.27,994109049600,4,4,3,5,16,Y,Y,20260320
A,KOSPI,034020,두산에너빌리티,109600,2.91,11.38,877786071200,5,4,5,5,19,Y,Y,20260320
B,KOSPI,105560,KB금융,155200,4.23,-6.79,166930171200,3,3,3,4,13,Y,Y,20260320
B,KOSPI,028260,삼성물산,297500,6.06,-6.89,181394080000,2,4,3,4,13,Y,Y,20260320
A,KOSPI,055550,신한지주,97900,7.82,-2.39,270283299000,4,4,4,5,17,Y,Y,20260320
B,KOSPI,032830,삼성생명,231500,7.18,10.77,131193596500,3,3,3,5,14,Y,Y,20260320
B,KOSPI,009150,삼성전기,464500,15.98,29.75,298197852000,4,2,5,4,15,Y,Y,20260320
B,KOSPI,086790,하나금융지주,113200,3.95,-10.37,216546166400,2,4,3,4,13,Y,Y,20260320
B,KOSPI,042700,한미반도체,309500,1.31,53.6,209417294500,3,3,3,4,13,Y,Y,20260320
B,KOSPI,010120,LS ELECTRIC,886000,18.61,31.07,130141882000,4,2,5,4,15,Y,Y,20260320
B,KOSPI,034730,SK,360000,8.76,1.27,144950760000,3,4,3,4,14,Y,Y,20260320
B,KOSPI,298040,효성중공업,2735000,5.48,11.5,91050885000,3,3,3,4,13,Y,Y,20260320
B,KOSPI,316140,우리금융지주,33900,5.28,-13.96,205849376700,2,4,3,4,13,Y,Y,20260320
A,KOSDAQ,000250,삼천당제약,907000,17.49,41.94,585111142000,5,3,5,5,18,Y,Y,20260320
B,KOSPI,024110,기업은행,24100,4.33,-9.4,84252226300,2,4,3,4,13,Y,Y,20260320
B,KOSPI,000150,두산,1186000,7.92,19.8,88479158000,4,3,3,4,14,Y,Y,20260320
B,KOSPI,000720,현대건설,164000,-0.24,31.94,291930168000,4,3,4,3,14,Y,Y,20260320
