등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),추세점수,매집점수,돌파점수,신규점수,총점,6.0신규,7.0신규,기준일자
B,KOSPI,051600,한전KPS,59400,9.19,1.89,12367911600,3,3,3,4,13,Y,Y,20260316
B,KOSDAQ,347700,스피어,52800,10.23,39.31,43142880000,4,3,4,4,15,Y,Y,20260316
B,KOSPI,005440,현대지에프홀딩스,15600,11.75,46.2,15143949600,4,3,3,4,14,Y,Y,20260316
A,KOSPI,097230,HJ중공업,26550,12.5,12.5,139857727050,4,4,4,5,17,Y,Y,20260316
A,KOSPI,017960,한국카본,45850,2.46,35.45,22931694100,4,4,4,4,16,Y,Y,20260316
B,KOSDAQ,089030,테크윙,64100,-6.42,42.44,107720947400,4,3,3,3,13,Y,Y,20260316
B,KOSDAQ,031980,피에스케이홀딩스,110000,-5.42,51.52,33936100000,4,3,3,3,13,Y,Y,20260316
B,KOSPI,112610,씨에스윈드,56000,13.02,30.23,31376912000,4,2,5,4,15,Y,Y,20260316
B,KOSPI,282330,BGF리테일,124500,7.79,-1.35,10894870500,2,4,3,4,13,Y,Y,20260316
B,KOSDAQ,099320,쎄트렉아이,193200,11.74,3.32,21404628000,3,3,3,4,13,Y,Y,20260316
A,KOSDAQ,222800,심텍,56000,8.11,6.87,53813592000,5,4,5,5,19,Y,Y,20260316
A,KOSPI,001120,LX인터내셔널,45450,9.39,3.41,14025051900,4,4,3,5,16,Y,Y,20260316
B,KOSDAQ,078600,대주전자재료,110700,-4.57,15.92,22133911500,4,3,3,3,13,Y,Y,20260316
A,KOSDAQ,456160,지투지바이오,100200,4.81,16.38,454675135200,4,5,4,5,18,Y,Y,20260316
B,KOSDAQ,048410,현대바이오,15750,2.21,36.36,41536514250,3,3,3,4,13,Y,Y,20260316
B,KOSDAQ,189300,인텔리안테크,133500,11.16,11.34,22407574500,4,3,3,4,14,Y,Y,20260316
B,KOSDAQ,127120,제이에스링크,41100,9.16,43.46,11828497800,4,3,4,4,15,Y,Y,20260316
A,KOSPI,229640,LS에코에너지,44600,13.63,4.45,17471604000,4,4,4,5,17,Y,Y,20260316
B,KOSPI,322000,HD현대에너지솔루션,119400,12.75,51.33,86883081600,3,3,3,4,13,Y,Y,20260316
A,KOSPI,004000,롯데정밀화학,51100,6.46,5.91,10320820300,4,5,5,5,19,Y,Y,20260316
B,KOSDAQ,166090,하나머티리얼즈,62100,0.49,1.97,15200465400,4,3,3,4,14,Y,Y,20260316
B,KOSDAQ,100790,미래에셋벤처투자,22700,8.87,-4.82,42401647800,3,3,3,4,13,Y,Y,20260316
B,KOSDAQ,389470,인벤티지랩,90800,0.11,28.79,25878726400,4,3,4,4,15,Y,Y,20260316
B,KOSPI,100090,SK오션플랜트,18840,5.61,4.26,6533749680,3,3,3,4,13,Y,Y,20260316
A,KOSDAQ,183300,코미코,111500,14.95,3.62,8735356000,5,3,5,4,17,Y,Y,20260316
B,KOSPI,057050,현대홈쇼핑,83100,12.15,24.03,5073088800,4,2,3,4,13,Y,Y,20260316
B,KOSDAQ,089970,브이엠,40000,0.25,25.79,15694400000,4,3,3,4,14,Y,Y,20260316
B,KOSDAQ,052400,코나아이,66800,10.96,10.41,7506917200,4,4,3,4,15,Y,Y,20260316
B,KOSDAQ,187660,현대ADM,17500,0.69,315.68,155736892500,3,3,3,4,13,Y,Y,20260316
A,KOSDAQ,126340,비나텍,138500,10.8,18.38,28492220000,3,5,3,5,16,Y,Y,20260316
A,KOSDAQ,074600,원익QnC,34850,0.58,19.76,14965461250,5,3,4,4,16,Y,Y,20260316
B,KOSDAQ,044490,태웅,44800,11.72,51.86,24731929600,3,4,3,4,14,Y,Y,20260316
B,KOSDAQ,420770,기가비스,70100,10.92,12.7,7389030700,4,3,3,4,14,Y,Y,20260316
B,KOSDAQ,348210,넥스틴,81100,3.44,3.31,5126655400,4,3,3,4,14,Y,Y,20260316
B,KOSPI,248070,솔루엠,17540,6.3,1.62,8808886180,2,4,3,4,13,Y,Y,20260316
B,KOSDAQ,102940,코오롱생명과학,62500,10.04,-1.42,6989625000,3,4,3,5,15,Y,Y,20260316
B,KOSPI,001510,SK증권,1727,1.05,84.51,36465553190,3,3,3,4,13,Y,Y,20260316
B,KOSDAQ,448900,한국피아이엠,112500,-16.67,48.61,29283637500,3,4,3,3,13,Y,Y,20260316
B,KOSDAQ,424870,이뮨온시아,8360,14.36,-5.64,6280241000,2,4,3,5,14,Y,Y,20260316
B,KOSDAQ,046890,서울반도체,9990,5.49,34.45,9231818940,3,3,3,4,13,Y,Y,20260316
B,KOSDAQ,356860,티엘비,59000,4.98,2.79,7537250000,4,3,3,4,14,Y,Y,20260316
B,KOSDAQ,083450,GST,30450,3.75,7.03,8700265350,4,3,3,4,14,Y,Y,20260316
A,KOSDAQ,122640,예스티,25150,14.84,7.48,7209222350,4,3,5,5,17,Y,Y,20260316
A,KOSDAQ,194480,데브시스터즈,42950,5.14,13.77,10467344500,5,4,5,5,19,Y,Y,20260316
B,KOSPI,009155,삼성전기우,172400,14.1,37.81,6605678400,5,2,3,4,14,Y,Y,20260316
B,KOSDAQ,168360,펨트론,23000,7.73,21.82,5152506000,3,3,3,4,13,Y,Y,20260316
B,KOSDAQ,394800,쓰리빌리언,14850,13.62,8.71,7229277000,3,3,2,5,13,Y,Y,20260316
B,KOSDAQ,309710,아이티켐,36200,6.16,11.38,10398993000,4,4,2,4,14,Y,Y,20260316
A,KOSDAQ,110990,디아이티,23500,9.81,9.05,6862963500,4,4,4,5,17,Y,Y,20260316
B,KOSPI,025860,남해화학,8650,-3.03,20.31,49097235650,3,5,3,4,15,Y,Y,20260316
B,KOSDAQ,092870,엑시콘,31050,13.74,10.7,11784996450,4,2,3,4,13,Y,Y,20260316
B,KOSPI,010820,퍼스텍,8000,-7.62,70.94,76399352000,4,3,3,4,14,Y,Y,20260316
B,KOSDAQ,221800,유투바이오,23350,1.97,249.03,8181069450,3,3,3,4,13,Y,Y,20260316
B,KOSDAQ,389260,대명에너지,20400,12.58,2.77,8735484000,3,4,3,5,15,Y,Y,20260316
B,KOSDAQ,393890,더블유씨피,10130,1.4,12.06,5593796130,3,3,3,4,13,Y,Y,20260316
B,KOSPI,017860,DS단석,19410,0.88,-0.26,5389205910,2,4,3,4,13,Y,Y,20260316
B,KOSPI,006805,미래에셋증권우,23850,10.25,24.23,6400982250,3,3,3,4,13,Y,Y,20260316
B,KOSDAQ,045390,대아티아이,4400,5.39,-4.14,12358570400,2,5,3,4,14,Y,Y,20260316
B,KOSPI,117580,대성에너지,10380,-27.87,28.15,14078394000,3,4,3,3,13,Y,Y,20260316
B,KOSDAQ,382900,범한퓨얼셀,31700,13.62,0.63,6560885600,2,4,3,5,14,Y,Y,20260316
A,KOSPI,005010,휴스틸,4810,4.45,12.12,5397555930,4,5,4,5,18,Y,Y,20260316
B,KOSDAQ,094820,일진파워,17900,7.83,8.48,21110669300,3,3,3,4,13,Y,Y,20260316
B,KOSDAQ,361390,제노코,28050,11.09,4.08,11898725850,3,3,3,4,13,Y,Y,20260316
B,KOSPI,044450,KSS해운,10650,0.47,3.3,29646096150,3,4,3,4,14,Y,Y,20260316
A,KOSDAQ,091580,상신이디피,16140,8.32,0.06,6120029760,4,4,4,5,17,Y,Y,20260316
B,KOSDAQ,125020,티씨머티리얼즈,6040,2.2,42.45,19311003440,3,3,3,4,13,Y,Y,20260316
A,KOSDAQ,425040,티이엠씨,9710,12.78,2.43,33226338280,5,4,4,5,18,Y,Y,20260316
B,KOSDAQ,000440,중앙에너비스,31200,-3.7,88.98,48465112800,4,4,3,3,14,Y,Y,20260316
A,KOSDAQ,005860,한일사료,4570,0.55,48.14,105439533560,4,5,3,5,17,Y,Y,20260316
B,KOSDAQ,389030,지니너스,5320,9.92,66.51,5989138960,4,4,3,4,15,Y,Y,20260316
B,KOSDAQ,065450,빅텍,5290,-1.86,33.75,39136488580,4,3,3,3,13,Y,Y,20260316
B,KOSPI,004140,동방,2750,-0.18,5.97,17783026250,4,4,3,4,15,Y,Y,20260316
B,KOSDAQ,024740,한일단조,3435,-12.93,48.38,45789106470,4,4,3,4,15,Y,Y,20260316
B,KOSDAQ,448710,코츠테크놀로지,21300,-3.62,12.7,8230256100,4,4,3,4,15,Y,Y,20260316
A,KOSPI,006890,태경케미컬,9000,0.0,14.07,18999531000,4,5,3,4,16,Y,Y,20260316
