등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),추세점수,매집점수,돌파점수,신규점수,총점,6.0신규,7.0신규,기준일자
B,KOSPI,005935,삼성전자우,138300,13.83,21.0,461728656600,4,2,3,4,13,Y,Y,20260316
B,KOSPI,012450,한화에어로스페이스,1476000,2.93,28.8,267067440000,3,3,3,4,13,Y,Y,20260316
A,KOSPI,034020,두산에너빌리티,105700,9.88,12.33,614899919900,4,3,5,4,16,Y,Y,20260316
B,KOSPI,329180,HD현대중공업,583000,1.22,9.18,89562209000,3,3,3,4,13,Y,Y,20260316
B,KOSPI,006800,미래에셋증권,70900,10.92,37.2,295398681700,4,3,3,4,14,Y,Y,20260316
B,KOSPI,009150,삼성전기,413000,8.12,31.74,290438533000,4,3,3,4,14,Y,Y,20260316
A,KOSPI,010140,삼성중공업,28750,0.7,3.23,204678121250,4,5,3,5,17,Y,Y,20260316
B,KOSPI,010120,LS ELECTRIC,733000,7.64,15.07,62864279000,3,3,3,4,13,Y,Y,20260316
B,KOSPI,047810,한국항공우주,191200,9.82,18.54,226182334400,4,3,3,5,15,Y,Y,20260316
B,KOSPI,000720,현대건설,159600,9.02,42.5,167590533600,3,3,3,4,13,Y,Y,20260316
B,KOSPI,000150,두산,1088000,11.02,23.92,86339328000,3,3,3,4,13,Y,Y,20260316
B,KOSPI,079550,LIG넥스원,730000,-8.29,58.35,443830510000,4,3,3,3,13,Y,Y,20260316
B,KOSPI,047050,포스코인터내셔널,73800,-3.66,15.31,62343952200,3,4,3,3,13,Y,Y,20260316
A,KOSPI,278470,에이피알,328500,10.79,19.24,88385881500,4,3,5,4,16,Y,Y,20260316
B,KOSDAQ,950160,코오롱티슈진,103400,-0.19,10.59,28317330800,4,3,3,3,13,Y,Y,20260316
A,KOSDAQ,087010,펩트론,316500,11.05,23.87,112941126000,5,5,5,5,20,Y,Y,20260316
A,KOSDAQ,141080,리가켐바이오,201000,5.62,12.61,76540398000,4,4,5,4,17,Y,Y,20260316
B,KOSDAQ,310210,보로노이,347500,10.49,59.04,29570165000,4,3,4,4,15,Y,Y,20260316
B,KOSDAQ,240810,원익IPS,121100,-2.57,16.11,44437281700,4,3,3,3,13,Y,Y,20260316
B,KOSPI,001040,CJ,186900,8.92,-16.19,73407030900,1,5,3,4,13,Y,Y,20260316
B,KOSPI,036570,엔씨소프트,226000,5.85,11.06,22564970000,3,3,3,4,13,Y,Y,20260316
A,KOSDAQ,095340,ISC,220000,14.88,30.25,124379640000,5,4,5,5,19,Y,Y,20260316
A,KOSDAQ,263750,펄어비스,68500,3.63,27.56,84853621500,4,5,5,5,19,Y,Y,20260316
B,KOSPI,489790,한화비전,78600,-1.13,32.77,47886421200,4,3,3,3,13,Y,Y,20260316
B,KOSDAQ,347850,디앤디파마텍,87600,11.03,10.61,65490460800,3,4,3,5,15,Y,Y,20260316
A,KOSPI,012510,더존비즈온,119200,0.25,41.4,10951857600,5,3,5,4,17,Y,Y,20260316
B,KOSDAQ,403870,HPSP,43850,0.8,-1.02,67349302700,3,3,3,4,13,Y,Y,20260316
B,KOSDAQ,440110,파두,69300,7.94,42.89,70630629300,4,4,3,4,15,Y,Y,20260316
B,KOSPI,004170,신세계,349000,11.5,-7.3,26578793000,3,3,3,4,13,Y,Y,20260316
A,KOSPI,353200,대덕전자,67000,11.3,16.12,96364425000,5,4,5,5,19,Y,Y,20260316
B,KOSDAQ,237690,에스티팜,155100,-4.32,1.77,20327561100,4,3,3,3,13,Y,Y,20260316
B,KOSDAQ,083650,비에이치아이,101500,3.89,37.91,52794717500,3,4,3,4,14,Y,Y,20260316
B,KOSPI,00680K,미래에셋증권2우B,21900,11.21,31.98,10978119600,4,3,3,4,14,Y,Y,20260316
B,KOSDAQ,036930,주성엔지니어링,64100,7.01,30.42,58316321100,3,3,3,4,13,Y,Y,20260316
A,KOSPI,010060,OCI홀딩스,158100,7.92,4.08,31543637700,4,4,4,4,16,Y,Y,20260316
B,KOSPI,005850,에스엘,63300,2.43,16.15,9641666100,3,3,3,4,13,Y,Y,20260316
B,KOSPI,023530,롯데쇼핑,102500,11.41,-9.69,19003295000,2,4,3,4,13,Y,Y,20260316
B,KOSPI,336260,두산퓨얼셀,42850,13.51,23.84,42195466250,4,3,3,4,14,Y,Y,20260316
B,KOSPI,028670,팬오션,5100,2.0,0.39,58717498500,2,4,3,4,13,Y,Y,20260316
B,KOSDAQ,178320,서진시스템,46300,1.65,34.59,75241296600,4,3,4,4,15,Y,Y,20260316
B,KOSDAQ,064760,티씨케이,242500,7.3,16.31,21053122500,4,4,3,4,15,Y,Y,20260316
