등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),추세점수,매집점수,돌파점수,신규점수,총점,6.0신규,7.0신규,기준일자
B,KOSPI,005930,삼성전자,208500,9.74,16.74,5192682700500,4,3,3,4,14,Y,Y,20260318
A,KOSPI,000660,SK하이닉스,1056000,10.58,18.92,4110289920000,5,3,4,4,16,Y,Y,20260318
A,KOSPI,005935,삼성전자우,149100,7.34,22.11,774780705300,5,3,5,4,17,Y,Y,20260318
B,KOSPI,005380,현대차,545000,2.83,7.71,506667970000,4,3,3,4,14,Y,Y,20260318
B,KOSPI,402340,SK스퀘어,630000,11.5,10.53,352264500000,4,3,3,4,14,Y,Y,20260318
A,KOSPI,034020,두산에너빌리티,107300,6.24,12.36,443611248400,5,3,5,4,17,Y,Y,20260318
B,KOSPI,000270,기아,175100,8.09,5.29,207799749900,4,3,3,4,14,Y,Y,20260318
B,KOSPI,032830,삼성생명,235000,3.75,14.63,127085650000,4,3,3,5,15,Y,Y,20260318
A,KOSPI,009150,삼성전기,464000,14.29,45.23,391171488000,5,2,5,4,16,Y,Y,20260318
B,KOSPI,006400,삼성SDI,405000,1.25,5.06,155690505000,4,3,3,4,14,Y,Y,20260318
B,KOSPI,042700,한미반도체,311000,-0.48,48.45,286277055000,4,3,3,3,13,Y,Y,20260318
B,KOSPI,272210,한화시스템,139800,-5.35,32.14,155112993000,4,3,3,3,13,Y,Y,20260318
B,KOSPI,010140,삼성중공업,29100,1.04,3.37,122915635500,3,4,3,4,14,Y,Y,20260318
B,KOSPI,298040,효성중공업,2731000,7.82,13.56,138396156000,4,3,3,5,15,Y,Y,20260318
B,KOSPI,000150,두산,1189000,7.99,22.2,95114055000,4,3,3,4,14,Y,Y,20260318
A,KOSPI,000720,현대건설,170100,14.31,47.4,250919272800,5,2,5,4,16,Y,Y,20260318
B,KOSPI,047810,한국항공우주,194300,10.78,17.4,157540188700,3,3,3,4,13,Y,Y,20260318
B,KOSDAQ,000250,삼천당제약,784000,1.29,50.48,128855888000,4,3,3,4,14,Y,Y,20260318
B,KOSPI,017670,SK텔레콤,81200,4.24,4.1,65498274800,4,3,3,4,14,Y,Y,20260318
A,KOSPI,278470,에이피알,362000,13.48,28.37,93845966000,5,2,5,4,16,Y,Y,20260318
B,KOSPI,005830,DB손해보험,189800,3.6,1.66,41955479800,4,3,3,4,14,Y,Y,20260318
B,KOSPI,039490,키움증권,469000,4.22,3.65,50925896000,4,3,3,4,14,Y,Y,20260318
B,KOSPI,005940,NH투자증권,34200,2.7,17.32,33383475000,4,3,3,4,14,Y,Y,20260318
A,KOSDAQ,298380,에이비엘바이오,195500,7.18,3.33,100932153500,5,3,4,4,16,Y,Y,20260318
B,KOSPI,005387,현대차2우B,279500,6.07,6.07,34688186000,4,3,3,4,14,Y,Y,20260318
B,KOSPI,003490,대한항공,25500,3.66,2.82,57049645500,4,3,3,4,14,Y,Y,20260318
A,KOSPI,007660,이수페타시스,125100,13.73,15.62,248790248100,5,3,3,5,16,Y,Y,20260318
B,KOSPI,016360,삼성증권,101500,3.78,4.53,48775013000,4,3,3,4,14,Y,Y,20260318
B,KOSDAQ,058470,리노공업,116600,2.55,18.86,86018968200,4,3,3,4,14,Y,Y,20260318
A,KOSPI,006260,LS,282000,11.68,12.57,39669786000,5,3,4,4,16,Y,Y,20260318
B,KOSDAQ,950160,코오롱티슈진,100700,1.92,7.93,30435165200,3,3,3,4,13,Y,Y,20260318
A,KOSPI,443060,HD현대마린솔루션,183400,3.15,10.22,21189119000,5,3,4,4,16,Y,Y,20260318
A,KOSDAQ,087010,펩트론,328000,8.61,31.99,67703464000,5,3,5,4,17,Y,Y,20260318
B,KOSPI,029780,삼성카드,60100,1.01,-2.28,8637211400,2,4,3,4,13,Y,Y,20260318
B,KOSPI,052690,한전기술,172300,9.47,16.73,59306693800,3,3,3,4,13,Y,Y,20260318
B,KOSPI,028050,삼성E&A,33300,4.72,-1.48,42611545800,2,4,3,4,13,Y,Y,20260318
B,KOSPI,005385,현대차우,279500,4.68,6.68,27671897500,4,3,3,4,14,Y,Y,20260318
B,KOSPI,011070,LG이노텍,268500,2.87,5.92,37948447500,4,3,3,4,14,Y,Y,20260318
B,KOSDAQ,310210,보로노이,339000,3.04,56.94,41674287000,4,3,3,4,14,Y,Y,20260318
B,KOSDAQ,240810,원익IPS,124500,3.75,-6.67,58482630000,3,3,3,4,13,Y,Y,20260318
B,KOSPI,001040,CJ,200000,9.59,-13.79,41532800000,2,5,3,4,14,Y,Y,20260318
B,KOSPI,271560,오리온,134000,3.88,-3.32,11822016000,3,3,4,4,14,Y,Y,20260318
B,KOSDAQ,039030,이오테크닉스,410500,3.01,8.45,40423166500,4,3,3,4,14,Y,Y,20260318
B,KOSPI,036570,엔씨소프트,230000,9.52,6.73,19176250000,4,3,3,4,14,Y,Y,20260318
A,KOSPI,062040,산일전기,154900,7.27,1.51,55141611800,4,4,3,5,16,Y,Y,20260318
A,KOSPI,088350,한화생명,5250,2.94,16.8,158239179000,4,4,3,5,16,Y,Y,20260318
B,KOSPI,018880,한온시스템,4400,8.24,0.23,127603467200,3,3,3,4,13,Y,Y,20260318
B,KOSPI,489790,한화비전,83900,7.7,36.64,119972301600,4,3,3,4,14,Y,Y,20260318
A,KOSDAQ,263750,펄어비스,65600,6.84,22.62,90244608000,4,5,3,5,17,Y,Y,20260318
A,KOSDAQ,403870,HPSP,50000,14.68,17.65,602365850000,5,3,5,5,18,Y,Y,20260318
B,KOSPI,103590,일진전기,82300,3.0,13.67,23500106600,4,3,3,4,14,Y,Y,20260318
B,KOSDAQ,226950,올릭스,190000,5.56,47.17,44104700000,3,3,3,4,13,Y,Y,20260318
A,KOSPI,012510,더존비즈온,119100,0.08,37.69,37029857400,4,3,5,4,16,Y,Y,20260318
B,KOSPI,011780,금호석유화학,136300,8.78,-7.28,34083450600,3,4,2,5,14,Y,Y,20260318
B,KOSPI,011170,롯데케미칼,82000,7.75,0.0,60057784000,3,4,3,5,15,Y,Y,20260318
B,KOSDAQ,357780,솔브레인,440000,-0.45,10.69,19135600000,4,3,3,3,13,Y,Y,20260318
A,KOSDAQ,145020,휴젤,269500,8.67,2.28,31484876500,5,5,5,5,20,Y,Y,20260318
B,KOSDAQ,083650,비에이치아이,105600,5.18,42.9,37466352000,3,3,3,4,13,Y,Y,20260318
B,KOSDAQ,237690,에스티팜,155800,-1.95,5.48,16390160000,4,3,3,3,13,Y,Y,20260318
B,KOSPI,009970,영원무역홀딩스,237500,3.04,-1.86,5509287500,3,4,3,5,15,Y,Y,20260318
B,KOSPI,005850,에스엘,68200,6.56,25.14,14556539800,3,3,3,4,13,Y,Y,20260318
