등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),추세점수,매집점수,돌파점수,신규점수,총점,6.0신규,7.0신규,기준일자
B,KOSPI,005930,삼성전자,200500,6.71,10.65,3794161549500,4,3,3,4,14,Y,Y,20260319
B,KOSPI,000660,SK하이닉스,1013000,8.92,15.11,3349253536000,4,3,3,4,14,Y,Y,20260319
A,KOSPI,005935,삼성전자우,144200,7.61,13.01,580471908800,5,3,5,4,17,Y,Y,20260319
B,KOSPI,402340,SK스퀘어,611000,10.29,9.5,243852544000,4,3,3,4,14,Y,Y,20260319
A,KOSPI,034020,두산에너빌리티,106300,2.71,9.93,354037039800,5,3,5,4,17,Y,Y,20260319
B,KOSPI,105560,KB금융,155700,4.36,-7.27,147568411800,3,3,3,4,13,Y,Y,20260319
B,KOSPI,032830,삼성생명,230500,5.49,12.17,54152517500,4,3,3,4,14,Y,Y,20260319
B,KOSPI,055550,신한지주,96500,5.01,-5.85,121788018000,3,3,3,4,13,Y,Y,20260319
A,KOSPI,009150,삼성전기,479500,20.03,54.93,442612544500,5,2,5,4,16,Y,Y,20260319
B,KOSPI,042700,한미반도체,307000,-3.15,51.6,242025906000,4,3,3,3,13,Y,Y,20260319
A,KOSPI,010120,LS ELECTRIC,873000,17.97,32.07,150890193000,5,2,5,5,17,Y,Y,20260319
B,KOSPI,298040,효성중공업,2693000,5.15,12.96,80744219000,4,3,3,4,14,Y,Y,20260319
A,KOSPI,000720,현대건설,169500,8.86,48.29,178602150000,5,3,5,4,17,Y,Y,20260319
A,KOSDAQ,000250,삼천당제약,795000,1.02,48.6,261456420000,5,4,4,5,18,Y,Y,20260319
B,KOSPI,000150,두산,1149000,0.52,21.97,61372686000,3,3,3,4,13,Y,Y,20260319
B,KOSPI,047810,한국항공우주,190400,5.9,7.75,105845835200,3,3,3,4,13,Y,Y,20260319
A,KOSPI,278470,에이피알,369000,14.42,35.66,108554265000,5,2,5,4,16,Y,Y,20260319
A,KOSPI,007660,이수페타시스,129500,19.03,27.46,273562145500,5,3,4,5,17,Y,Y,20260319
A,KOSPI,006260,LS,290500,14.82,17.14,57291248000,5,2,5,4,16,Y,Y,20260319
B,KOSDAQ,058470,리노공업,117100,-0.59,20.1,91593746400,4,3,3,3,13,Y,Y,20260319
B,KOSPI,443060,HD현대마린솔루션,178200,0.06,4.03,15719022000,4,3,3,4,14,Y,Y,20260319
B,KOSDAQ,087010,펩트론,317500,9.67,30.12,59036267500,4,3,4,4,15,Y,Y,20260319
B,KOSDAQ,141080,리가켐바이오,199900,8.82,13.19,72713425100,3,4,3,4,14,Y,Y,20260319
B,KOSPI,011070,LG이노텍,286000,12.6,17.94,96577624000,4,3,3,5,15,Y,Y,20260319
A,KOSPI,047040,대우건설,16170,54.59,121.51,1247138221560,5,4,4,5,18,Y,Y,20260319
B,KOSPI,052690,한전기술,168000,0.6,13.67,47408424000,3,3,3,4,13,Y,Y,20260319
B,KOSPI,241560,두산밥캣,61800,1.81,-4.48,25249811400,3,3,3,4,13,Y,Y,20260319
B,KOSPI,088980,맥쿼리인프라,11440,0.62,-0.87,15816143200,4,3,4,4,15,Y,Y,20260319
A,KOSDAQ,095340,ISC,244500,37.28,43.23,82587699000,5,4,5,5,19,Y,Y,20260319
B,KOSDAQ,039030,이오테크닉스,412500,0.49,13.01,48370162500,4,3,3,4,14,Y,Y,20260319
A,KOSDAQ,032820,우리기술,28950,32.19,134.6,848665168050,5,3,5,4,17,Y,Y,20260319
B,KOSPI,062040,산일전기,151700,5.79,4.26,36311822200,4,3,3,4,14,Y,Y,20260319
B,KOSPI,489790,한화비전,87200,10.52,42.25,148780204000,4,3,3,4,14,Y,Y,20260319
A,KOSDAQ,403870,HPSP,51700,19.54,21.36,410204602500,5,4,5,5,19,Y,Y,20260319
B,KOSPI,103590,일진전기,82100,1.99,14.83,23447677900,4,3,3,4,14,Y,Y,20260319
A,KOSPI,353200,대덕전자,77300,21.35,34.43,186203022800,5,4,5,5,19,Y,Y,20260319
A,KOSPI,010060,OCI홀딩스,198200,19.54,31.61,50778641800,5,4,5,5,19,Y,Y,20260319
B,KOSDAQ,226950,올릭스,181800,0.61,42.81,48396978000,3,3,3,4,13,Y,Y,20260319
B,KOSPI,012510,더존비즈온,119100,-0.17,34.27,26793450600,4,3,5,3,15,Y,Y,20260319
B,KOSPI,011170,롯데케미칼,82400,11.35,2.62,25520928000,3,3,3,4,13,Y,Y,20260319
B,KOSPI,012750,에스원,87800,5.02,-4.77,3171160400,4,3,2,4,13,Y,Y,20260319
B,KOSDAQ,083650,비에이치아이,104300,4.61,38.51,29955481500,4,3,3,4,14,Y,Y,20260319
A,KOSDAQ,145020,휴젤,262000,7.16,3.35,15219580000,4,3,5,4,16,Y,Y,20260319
B,KOSPI,085620,미래에셋생명,17880,27.53,94.35,10863619800,4,3,3,4,14,Y,Y,20260319
B,KOSPI,023530,롯데쇼핑,107500,10.6,-5.12,11164627500,3,3,3,4,13,Y,Y,20260319
B,KOSDAQ,084370,유진테크,131900,3.53,17.77,31522253400,4,3,3,4,14,Y,Y,20260319
A,KOSPI,336260,두산퓨얼셀,45900,-0.76,29.66,38801106000,5,3,5,3,16,Y,Y,20260319
B,KOSPI,051600,한전KPS,61400,1.82,5.32,19464107000,4,3,3,5,15,Y,Y,20260319
A,KOSPI,112610,씨에스윈드,64900,15.89,52.35,125850510500,5,4,5,5,19,Y,Y,20260319
B,KOSDAQ,064760,티씨케이,242500,8.5,18.0,18481410000,4,3,3,4,14,Y,Y,20260319
