등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),추세점수,매집점수,돌파점수,신규점수,총점,6.0신규,7.0신규,기준일자
B,KOSDAQ,437730,삼현,54700,3.99,-1.8,38071145300,2,4,2,5,13,Y,Y,20260317
B,KOSDAQ,115180,큐리언트,45500,-10.61,18.34,22320707500,3,4,3,3,13,Y,Y,20260317
B,KOSDAQ,124500,아이티센글로벌,70100,12.52,41.76,20041449800,4,3,3,4,14,Y,Y,20260317
B,KOSDAQ,060370,LS마린솔루션,30850,11.57,4.75,6209241200,3,4,3,4,14,Y,Y,20260317
B,KOSDAQ,090710,휴림로봇,13440,5.74,-6.08,480924662400,3,4,3,5,15,Y,Y,20260317
B,KOSDAQ,456160,지투지바이오,93500,-8.33,5.06,150283017500,2,5,3,3,13,Y,Y,20260317
B,KOSDAQ,127120,제이에스링크,40050,6.23,33.5,6794842950,4,3,3,4,14,Y,Y,20260317
B,KOSPI,229640,LS에코에너지,44400,8.69,0.34,5713214400,2,4,3,4,13,Y,Y,20260317
A,KOSPI,004000,롯데정밀화학,51100,6.13,6.57,5169122700,5,4,5,4,18,Y,Y,20260317
A,KOSDAQ,295310,에이치브이엠,102900,8.32,12.58,31997372400,4,4,4,4,16,Y,Y,20260317
A,KOSDAQ,183300,코미코,117000,8.33,10.69,26876187000,5,5,5,5,20,Y,Y,20260317
B,KOSPI,100090,SK오션플랜트,18870,5.89,4.83,9023784960,3,3,3,5,14,Y,Y,20260317
A,KOSDAQ,213420,덕산네오룩스,46600,13.8,8.88,13724725200,4,3,5,4,16,Y,Y,20260317
A,KOSPI,003160,디아이,35650,5.63,2.74,25097742600,4,4,4,5,17,Y,Y,20260317
B,KOSDAQ,089970,브이엠,41050,-0.73,20.74,20701761300,5,3,3,3,14,Y,Y,20260317
A,KOSPI,010780,아이에스동서,32700,13.94,7.57,5141224800,5,3,5,4,17,Y,Y,20260317
